AverageFactor	Abramis brama	Alburnoides bipunctatus	Alburnus alburnus 	Anguilla anguilla	Aspius aspius	Ballerus sapa 	Barbatula barbatula	Barbus barbus	Blicca bjoerkna	Carassius carassius	Carassius gibelio	Chalcalburnus chalcoides mento	Chondrostoma nasus	Cottus gobio	Cyprinus carpio	Esox  lucius	Eudontomyzon vladykovi	Gasterosteus aculeatus	Gobio gobio	Gymnocephalus baloni	Gymnocephalus cernua	Gymnocephalus schraetser	Hucho hucho	Ictalurus spp   ? 10  	Lampetra planeri	Lepomis gibbosus  ? 20  	Leucaspius delineatus  ? 10  	Leuciscus idus	Leuciscus leuciscus	Lota lota	Misgurnus fossilis	Neogobius melanostomus	Oncorhynchus mykiss	Perca fluviatilis	Phoxinus phoxinus	Ponticola kessleri	Proterorhinus semilunaris	Pseudorasbora parva 	Rhodeus amarus	Romanogobio uranoscopus	Romanogobio vladykovi	Rutilus rutilus	Rutilus virgo	Salmo trutta  lacustris	Salmo trutta fario	Salvelinus fontinalis	Sander lucioperca	Scardinius erythrophthalmus	Silurus glanis	Squalius cephalus	Telestes souffia	Thymallus thymallus	Tinca tinca	Vimba vimba	Zingel streber	Zingel zingel
Aalbach.21558	0	0	0	1,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0,5	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
Aalbach.21558	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	1	0	0	78,5	0	0	0	0	0	0	0	0	0	0	0
Abens.3358	0	14	4,25	0	0	0	0	3,75	0	0	0	0	0	0	0,25	0,5	0	0	0,75	0	0	0	0	0	0	0	0	0	10,75	0,25	0	0	0	0	0	0	0	0	0	0	0	0,75	0	0	0	0	0	0	0	3,75	0	0	0	0,5	0	0
Abens.3358	0	12	20	3	0	0	0,75	3	0	0	0	0	1,75	1,75	1,75	0,75	0	0	1,75	0	0	0	0	0	0	0	0	0	10,75	1,75	0	0	0,25	0,5	0	0	0	0	0,5	0	0	11,5	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Abens.105507	0	0	0	0	0	0	518,6666667	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0,666666667	0	0	0	16,66666667	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4,666666667	0	0	0	0	0	0
Abens.105507	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	50	36,66666666	0	0	0	0	0	0	0	0	0	0,666666667	0	0	0	0,666666667	0	100	0	0	0	0	0	0	0	0	0	4,666666667	0	0	0	0	1,333333334	0	0	0	0	0	0
Aidenbach.96769	0	0	0	0,5	0	0	18,5	0	0	0	0	0	0	0	0	0	0	0	10,5	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	18,5	0	0	0	3	0	0	4,5	0	0	0	0	9,5	0	0	0	0	0	0
Aidenbach.96769	0	0	0	1	0	0	17,5	0	0	1	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	4	0	0	0	0	7,5	0	0	0	0	0	0
Aisch.18792	0	0	11,8	22,4	0	0	0	0	0	0	0	0	0,4	0,4	0,8	2,2	0	0	4,8	0	0,8	0	0	0	0	0	0	0	0	0	0	0	0	3,4	0	0	0	1	1,4	0	0	13	0	0	0	0	0,4	2	0,2	4,6	0	0	1,6	0	0	0
Aisch.18792	0	0	11,6923077	5,076923077	0	0	0	0	0	0,153846154	0,153846154	0	0,307692308	0,307692308	0,307692308	1,230769231	0	0	4,461538462	0	0	0	0	0	0	0,461538462	0	0	0,307692308	0	0	0	0	1,538461539	0	0	0	3,076923076	0,461538462	0	0	8,615384615	0	0	0	0	0	1,538461539	0,153846154	2,923076923	0	0	0,307692308	0	0	0
Aisch.18792	0,540540541	0	2,162162162	3,783783783	0	0	0	0	0	0,108108108	0,108108108	0	0,108108108	0,108108108	0,108108108	0,432432432	0	0	1,837837838	0	0	0	0	0,108108108	0	0	0	0	0	0	0	0	0	1,189189189	0	0	0	3,783783784	2,810810811	0	0	15,35135135	0	0	0	0	0	0,216216216	0,108108108	3,891891893	0	0	0,432432432	0	0	0
Aisch.18792	1,142857143	0	105	9,714285714	0	0	0	0,142857143	0	0	0	0	0,142857143	0,142857143	0	0,142857143	0	0,142857143	15,71428571	0	0	0	0	0	0	0	0	0	0,142857143	0	0	0	0	1,285714286	0	0	0	75	62,74285714	0	0	66,14285715	0	0	0	0	0,285714286	6,285714285	0,428571429	21,85714286	0	0	3,142857143	0	0	0
