	<=5 cm	>5-10 cm	>10-20 cm	>20-30 cm	>30-40 cm	>40 cm	< 5 years	5-10 years	10-15 years	> 15 years	NA	fusiform	compressiform	hemispherical	sagitiform	anguilliform	indifferent	rheophil	oligorheophil	stagnophil	omnivor	invertivor	piscivor	filter-feeder	herbivor	meso-eurytherm	oligo-stenotherm	non-migrating	potamodrom	katadrom	kurz 	mittel 	lang	non-migrating	lithophil	phytophil	psammophil	speleophil	pelagophil	ostracophil	<=1,000	>1,000-10,000	>10,000-100,000	>100,000-1,000,000	>1,000,000	<1	1	>1	1	2+	male and female	male	otherwise protected	none	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Frühjahr	Sommer	Herbst	Winter	all-season	spawning season	none	yes	no	Indigenous	Neobiota	critically endangered	endangered	vulnerable	near threatened	no threat evident	data deficient	critically endangered	endangered	vulnerable	near threatened	no threat evident	data deficient
Abramis.brama	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0,5	0,5	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Alburnoides.bipunctatus	0	0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0				0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0
Alburnus.alburnus	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Ameiurus.melas	0	0	0	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0				0	1	1	0	0	0	0	0	0	0	0	0,5	0,5	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
Ameiurus.nebulosus	0	0	0	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0,5	0,5	0	0	0	0	0	0	1	0	0				0	1	1	0	0	0	0	0	0	0	0	0,5	0,5	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
Anguilla.anguilla	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0,5	0,5	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0,166666667	0,166666667	0,166666667	0	0	0	0	0,166666667	0,166666667	0,166666667	0,5	0	0,333333333	0,166666667	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Aspius.aspius	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,333333333	0,666666667	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
Ballerus.sapa	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Barbatula.barbatula	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0,5	0,5	0	1	0	0	0	1	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Barbus.barbus 	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0				0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0
Blicca.bjoerkna	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Carassius.carassius	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	0	0	0	0,5	0,5	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Carassius.gibelio	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	0	0	0	0,5	0,5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Chalcalburnus.chalcoides.mento	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Chondrostoma.nasus	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
