FWK_CODE_K	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	% stehende_Gewaesser	%Flieﬂgewaesser	%ivk07_unbekannt	%ivk07_Teichflaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_sonstige_Flaechen	%ivk07_Pflanzenzucht	%ivk07_Oelsaaten	%ivk07_Obst_und_Gemuese	%ivk07_Nutzpflanzen	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_Flaechenstilllegung	%ivk07_Ackerfutter	%ivk07_Wein		%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_Hackfruechte	%ivk13_Gruenland	%ivk13_Getreide	%ivk13_Flaechenstilllegung	%ivk13_Ackerfutter	%ivk13_unbekannt	%ivk13_Teichflaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_sonstige_Flaechen	%ivk13_Pflanzenzucht	%ivk13_Oelsaaten	%ivk13_Obst_und_Gemuese	%ivk13_Nutzpflanzen	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Wein
SE001	1.190926539	4.97437566	0	0.105760299	0	0	19.34296316	3.22104531	0	0	58.80440065	0	2.081483373	0.00512313	0	1.972434783	0.422194142	0	0	1.012051975	0.294837183	0	0.579692589	5.992711201	0	0	0	0	0	2.194969974	0	0	0	33.14087404	60.26093612	0	0.297632832	2.828380164	0	0	0.738442174	0.538764706	0		0.513968113	2.960950648	0	0	0	60.87331144	32.24623591	0	0.555011848	0.586475669	0	0	0	0	2.264046377	0	0	0	0
SE035	1.20310963	2.92060476	0	0.311667103	0.042204458	0	8.500467162	11.28594001	0.399157095	0.509877136	56.19050965	0	3.806833896	1.042566459	0	2.917708581	0.950038555	0	0	2.194228451	1.551064508	0	2.922832349	3.251190193	0.447081824	4.060912484	0	0	0.449817425	3.857935621	0	0	0	25.82262451	54.77255194	0.04546569	3.687143758	1.363294796	0	0	1.444872857	4.048299088	0		0.017561298	1.027189726	0.016375567	0	0.45391541	54.24089331	23.5588805	0.00847664	15.34491454	0.207027396	3.922347647	0	0	0	1.202417974	0	0	0	0
SE039	1.319883273	4.362022137	0	0.169522342	0	0.162546058	24.61206962	7.300969061	0	0.24530141	47.81444763	0	1.876060805	0.601653036	0.028990718	2.97890541	2.554527114	0	0.130990974	2.332617839	0.296224912	0	2.484102737	0.729164923	0	2.734081204	0	0.316583601	0	2.536822692	0	0	0	41.00312686	44.96512314	0.240341472	0	2.584125624	0	0	1.379769183	4.240026222	0		0.28893907	4.230450226	0	0	0	42.22648855	32.61350358	0	12.88085299	0.714036487	1.86557593	0	0.121464946	0	5.058688227	0	0	0	0
SE040	1.657817453	2.261566268	0	0	0	0	45.3511602	2.694407694	0.316216693	0.089852396	38.90192354	0	2.185795743	0.269922072	0	2.092196496	0.386545266	0	0	2.206603261	0.02379602	0	0.858103912	0.70409299	0.385838194	0	0	0	0	9.172915329	0	0	0	28.98110386	51.67543179	0	0	3.259096252	0	0	0	6.525614574	0		0	6.026299669	0.168402814	0	0	52.25284295	28.31436072	0	8.945663123	0	0.444599314	0	0	0	3.847831405	0	0	0	0
SE044	1.455489189	2.471872262	0	0.030270073	0	0	23.54975477	7.378443103	0	0.251851682	53.61094408	0	3.033201204	1.226159539	0	2.156513408	0.488699159	0	0	1.981178433	0.207654754	0	1.123611227	1.034357117	0.266923543	0.238733161	0	0.014822395	0	3.169914113	0	0	0	29.91748348	51.31979756	0.868398215	0	5.546304778	0	0	0.687696879	7.969925873	0		0.83765456	4.470843683	0	0	0	50.39139199	25.14070576	0.509052419	11.9817327	0.296873451	0.346026465	0	0	0	6.025718969	0	0	0	0
SE010	1.647727314	2.633253104	0	0.068764846	0	0.090895142	10.77520089	14.38410945	0.102865431	0.135565899	55.35640233	0.012287976	6.000726363	0.613298132	0	2.724376096	0.848607872	0	0.023549666	1.999323466	0.113725986	0	1.633006281	0.836313746	0.138725851	0.718338308	0	0.171177663	0	1.345316171	0.001052921	0	0	34.33650712	52.93666177	0.402026989	0.171899094	3.994279863	0	0	2.592306048	3.191708205	0		0.287352374	2.982689833	0	0	0.628601088	54.48909828	31.07441738	0.232681058	6.563180409	0.126403072	0.690361265	0	0.734883704	0.008109795	2.182221747	0	0	0	0
SE009	1.563140548	4.465646534	0	0.068737741	0	0.309992322	5.277097982	11.20135699	0.138174679	0	53.6717597	0	4.470930886	0.869448467	0	8.24437165	1.996753397	0	0.120716265	1.359792534	0.741639726	0	1.114254014	4.386186577	0	0	0	0.266366299	0	1.204192242	0	0	0	27.24881368	63.32216745	0	0.199248781	3.022446903	0	0	0.8667315	3.870033148	0		0	3.104015029	0	0	0	62.8545751	25.35039783	0.169449513	4.755075291	0.483198205	0	0	0.09534312	0.643204105	2.544741808	0	0	0	0
SE021	1.486824384	3.910400048	0	0.181735691	0	5.742966473	11.35321388	4.35758785	0.635379689	0	45.83787375	0	5.504617589	0.394934713	0	5.348295198	5.799920604	0	0	2.597183171	0.790590297	0	1.53301313	4.525463533	0	0	0	0	0	2.316394041	0	0	0	24.39523164	63.66928952	0	1.56183925	2.219965174	0	0	2.518632609	3.318647763	0		0.12440391	1.45706678	0	0	0	63.32793107	24.33128577	0	7.026324147	0.261614093	0	0	0.029058572	0	3.442315651	0	0	0	0
SE022	1.54576696	3.691711734	0	0.145824689	0	0.514722371	12.81764491	8.984255506	0.172338357	0.010827546	55.28568739	0.142961766	3.944660907	0.987398059	0.054543275	5.00066243	1.677708758	0	0.010632045	1.867677158	0.286890971	0	1.548110629	1.309974541	0.026535566	0.358466758	0	0.403122982	0	1.837338547	0.382104484	0	0	27.51556493	55.63241708	0	0.138610589	4.252468498	0	0	2.893808962	6.559561603	0		0.204598496	4.133994779	0.215955867	0.036186049	0.00818501	55.05307348	22.91095125	0.570624412	12.00017681	0.505651856	0.35897597	0	0.158794689	0.052584337	3.658258405	0.131988587	0	0	0
SE034	1.389315817	2.07070327	0	0.008264517	0	0	34.22549612	5.224707231	0.065362898	2.741225676	43.97220351	0.326296116	2.395894676	0.080227066	0	1.471842629	0.298994487	0	0.01541501	2.93229659	0.143047031	0	1.303514894	1.335192468	0.85000046	1.538528216	0	0	0	2.337899581	0	0	0	22.50499305	55.71212959	0	0.048590193	6.820027681	0	0	1.001117508	9.186713721	0		0	6.166099071	0.327279694	0	0	52.76117469	24.75897678	0.064171022	11.78584168	0.459318935	1.486512432	0	0.014435748	0	2.176189939	0	0	0	0
