FWK_CODE_K	%ivk07_Mais	%ivk07_Teichflaechen	%ivk07_Klee	%ivk07_sonstige_Handelsgewaechse	%ivk07_Huelsenfruechte	%ivk07_sonstige_Flaechen	%ivk07_Hackfruechte	%ivk07_Pflanzenzucht	%ivk07_Gruenland	%ivk07_Oelsaaten	%ivk07_Getreide	%ivk07_Obst_und_Gemuese	%ivk07_Flaechenstilllegung	%ivk07_Nutzpflanzen	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Ackerfutter	%ivk07_mehrjaehrige_Graeser	%ivk07_unbekannt	%ivk07_Wein	%ivk13_Wein	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
AP144	4.962681769	0	3.138649019	0	0.314874718	0.608872538	0.015054317	0	29.74127772	10.08668498	33.94850105	0	7.410269297	0	0	8.738687024	0.46273868	0.571708889	0	0	11.26991757	3.601411414	36.0607453	31.4288221	0	0	3.510268467	7.922883786	0.388328705	0.034325044	0	0	5.567708277	0	0.002243788	0	0	0.213345556	4.578716743	0	1.906691579	2.497425842	0	0.014150322	1.98123483	0.503809469	0	10.63892291	8.867936695	0	0	27.20347068	0.131354365	7.530067948	3.686132721	6.537289727	0.338796328	0.534666794	0	0	1.055792182	0	21.99354087
AP146	0.035278775	0	0.452389808	0	0.105121756	0.002923928	0	0	78.97795691	0.739159999	11.2829138	0	0.965150461	0.0205073	0.005481609	3.532377216	0	3.880738442	0	0	3.724656903	0.299272975	11.47355553	82.84944598	0	0.148053173	0.362384626	0.438494969	0.036028325	0.005423812	0	0.001734585	0.196537152	0.04434852	0.076606217	0	0	0.343457225	1.479329671	0	1.402893806	0.757736869	0	0.04700789	2.814552074	0.455919542	0	3.790629495	9.96860725	0.012303371	0	66.76930747	0	2.422182539	1.355893267	2.260015314	0	0.432737716	0.056448262	0.307026341	1.601095056	0	4.066314071
AP166	0.497330232	2.151445292	1.326400771	0	0.019580987	0.123581756	0.135717118	0	58.17927854	1.889014904	25.46884004	0	1.987300285	0	0	7.262365295	0	0.959144781	0	0	9.62174406	0.409005376	23.6994093	59.80659006	0.123375567	0.168473624	1.488413842	1.420068259	0	0	0	0	0.215808603	0.051906209	0.157997921	0	2.050278022	0.786929156	3.404072699	0	0.513659117	0.894622223	0	0.112172128	5.184074894	0.283714923	0	15.33464837	11.75537973	0.134190741	0	52.81872531	0	1.762114228	1.251675493	2.854835058	0	0.073468684	0	0	1.900368782	0	1.722277623
AP218	0	0.139198523	4.38578517	0	0	0.108132177	0.021256136	0	81.12677391	0.759695888	4.107436642	0	4.180314304	0	0	3.545769158	0	1.625638091	0	0	3.223596375	2.082656214	4.187476653	82.01853137	0.021541292	0	6.671403395	0.521056134	0	0	0	0	0	0	0.846078229	0	0.141065903	0.286594438	1.404494196	0.030131586	0.925160401	0.718541354	0	0.007369736	2.826775474	0.283037598	0	29.03367154	13.31710599	0	0	39.20428806	0	4.403890009	1.704157077	3.248269469	0	0.048723081	0	0.092266066	0.681780603	0	2.070337761
AP219	1.678486815	0.609701437	6.839699534	0.016352129	0.267338231	0.034102908	0.24137215	0	42.84606217	2.05570329	31.4503387	0	4.236422518	0	0	7.849092491	0	1.875327631	0	0	12.84209374	2.240695482	32.19433094	40.81018278	0.101081304	0.44198962	7.160342138	2.05717318	0	0	0	0	0.722370404	0	0.472092247	0.017214854	0.511249436	0.42918388	2.951322857	0	1.235259632	3.075243529	0	0.024521026	3.12069476	0.394514857	0	12.30453792	10.38063982	0	0	52.60908064	0	3.143932017	2.583179461	3.114388701	0.165854524	0.20586918	0	0	1.244169147	0.001802753	3.444989176
NR002	0	0	0	0	0	0	0	0	96.03074163	0	0	0	0	0	0	3.969258374	0	0	0	0	0	0.065111143	0	95.73021048	0	0	4.204678381	0	0	0	0	0	0	0	0	0	0	0	0.432591318	0	13.39847353	0	0	0	3.17986172	0.029700806	0	0	22.52822247	0	0	19.32111914	0	0.082549666	4.984533757	1.243607541	0	0	0	0	5.927866411	0	28.87147365
AP221	0.369885012	0.780225839	5.179578206	0	0.499445199	0	0.013718639	0	49.4664423	6.298511352	27.09888538	0.005486655	2.667904575	0	0	6.66611858	0	0.953798269	0	0	7.993796775	0.613966677	30.1486049	49.8179286	0	4.65934E-05	5.628319088	1.636526873	0	0	0	0	3.193136506	0	0.080327778	0	0.797324313	0.090021899	1.869475412	0	1.597655159	2.231468628	0	0.00723491	1.540341488	0.198897129	0	7.015981281	16.47602401	0	0	38.01077576	0	5.802437182	3.823035173	3.318685626	0.713798839	0.273166868	0	0	1.100565593	0.064386301	15.95607065
AP204	1.281977422	0	1.379073938	0.238093535	0.521527661	0	0	0	59.10673451	1.153366195	30.27261004	0	5.166766684	0	0	0.209458382	0	0.670391635	0	0	0.945429487	0.704578082	30.57706956	59.72232435	0.240921772	0	1.420333892	0.500052843	0	0	0	0	5.586234227	0	0	0	0	0.303055789	1.899225728	0	2.664070899	2.78460146	0	0.079520152	2.541691963	0.725798847	0	9.777388113	10.57110215	0	0	45.97027391	0	5.346710197	2.409034499	10.73966772	0	0.345197195	0	0.243419131	0.063190855	0	3.839107179
AP203	1.521536779	2.466033244	5.340688844	0	0	0	0.414364322	0	33.42509458	0.632389625	27.73483776	0	6.484699471	0	0.038675414	16.78607081	0	5.155609153	0	0	18.67563523	3.288067562	31.30766148	32.66099157	0.046647543	0	9.763301941	0.564207164	0	0.039709828	0	0	0	0	0	0	2.532004304	1.121773381	3.278280315	0	0.990630893	1.577846515	0	0.19036971	2.05845362	0.039491842	0	21.48198093	13.60340754	0	0.334366646	44.72110685	0	3.434412279	2.17201357	2.553528172	0	0.005269345	0	0.272044331	2.794445625	0	0.492351817
AP201	0.166813622	0.191873734	3.79272018	0	0.115064756	0.061010969	0.034190298	0	56.05957855	3.196620385	23.06532602	0.009789014	6.503621446	0	0.005527745	5.877824776	0	0.920038512	0	0	5.974692784	4.127450951	25.12458008	55.00631889	0.060201868	0.217846205	5.648792274	1.254062062	0	0.034987426	0	0	1.847401479	0	0.443109598	0	0	0.260556384	3.247036648	0	0.757419499	0.950644308	0	0.042386585	3.312319846	0.351814628	0	22.61411237	7.908645942	0	0.776389194	47.70991217	0.112691416	3.141370018	2.771033254	4.105705213	0	0.116427513	0	0.062688536	0.390829082	0	1.628573782
