FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser
BO007	0	0	0	0	0	0	0.151410012	0	0	1.657702317	0	0	0	98.19088767	0	0	0	0	0
BO014	0	0	0	0	0.134397568	0	0	0	0	3.06258945	1.060125068	0	0	95.74288791	0	0	0	0	0
BO037	0	0	0	0	0	0	0	0	0	0.877322908	0	0	0	99.12267709	0	0	0	0	0
BO025	0	0	0	0	0	0	0	0	0	0.341261306	0	0	0	99.65873869	0	0	0	0	0
BO006	0	12.59395475	0	2.342133676	0	0	0	0	0	7.036169365	1.356721928	0	0	76.67102029	0	0	0	0	0
BO001	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
BO010	0	0	0	0	0	0	0	0	0	1.336081888	0	0	0	98.66391811	0	0	0	0	0
BO023	0	6.365933035	1.533713747	1.314426992	0	0	0	0	0	10.13797475	8.097106218	0	0	72.55084526	0	0	0	0	0
BO040	0	0	0	0	0	0	0.384860397	0	0	1.50158004	0	0	0	98.11355956	0	0	0	0	0
BO003	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
BO004	0	0	0	0	0	0	0	0	0	25.67948462	0	0	0	74.32051538	0	0	0	0	0
BO027	0	0	0	0	0	0	0	0	0	0.089148774	0	0	0	99.91085123	0	0	0	0	0
BO002	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
BO005	0	11.53742688	0	0.1490905	0	0	0	0	0	10.33333264	2.686208637	0	0	75.29394134	0	0	0	0	0
BO024	0	0	0	0	0	0	0	0	0	13.94608327	0.385211591	0	0	85.66663744	0.0020677	0	0	0	0
