FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_mehrjaehrige_Graeser	%ivk07_unbekannt			%ivk13_Wein	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% Flieﬂgewaesser	%Hafenbecken	% stehende_Gewaesser
AP_02	0	41.17676102	24.18631619	190.2073038	531.4941092	25.94781651	0	1.070160611	0.329182124	0	3.68776309	0	12.93082877	0	0	0	0	0	168.9697587			0	2.630788499	1.734068927	27.54538258	61.36183024	3.346430159	0	0	1.424750444	0	0	0	0.78572413	1.070998034	0	0	0	0	0.100026991	1.097750741	0.004540895	1.661923178	1.007274174	0	0	0.457627524	1.733171291	0	28.6331799	7.613099487	0	0.309069221	6.924184204	0.033945389	5.987060479	2.625565093	1.417537753	0	0.220819341	0	0.02931566	38.42184049	0	1.822095178
AP002	0	19.30660388	26.38765776	57.9413605	845.9525308	3.660752084	0	0.484700875	32.837711	0	0	0	0.902389855	0	3.550454327	0	0	0	8.975838963			0	1.060372484	0.765793916	7.305621443	84.7269642	0.60092109	0	0.070761269	4.031395295	0	0	0	0	0	0	1.124575641	0	0	0.313594662	0.994438674	0	0.076865609	0.254170064	0	0	0.844834923	0.043808446	0	16.70577912	12.23401155	0	0.003184651	26.01295351	0	8.054126131	2.794933685	1.78438714	0	0.111692404	0	0	27.59813502	0	2.486679077
AP004	0	23.14244077	10.18758053	57.3647874	801.2943042	0	0	68.34888964	19.78168634	0	0	0	0	0	0	0	0	0	19.88031113			0	3.331778068	1.022935242	3.404695672	84.88978372	0	0	6.581416864	0.428870303	0	0	0	0	0	0	0.18483524	0	0	0.155684896	3.934287455	0	0.752766099	3.263158178	0	0.058843024	1.520614326	0.878849411	0	25.97448155	10.70712117	0	0	13.00540957	0	4.296459879	1.245875497	2.837195122	0.192318803	0.948335553	0	0.212125902	30.02240797	0	0.149750497
AP006	0	90.61674093	51.14503323	245.0134615	518.3845522	32.71232728	0	12.7725428	31.64824698	1.667192433	0	1.194290568	9.3741247	1.979806792	0.963529125	0	0	0	2.528151436			0	12.03544717	3.029176432	24.08343609	48.15520244	3.243360658	0	1.518996942	4.724961187	0	0.218958706	0	0.335696002	2.209010049	0.240328959	0.105853677	0	0	0.099571692	3.140880995	0.07846032	0.184499549	0.776618487	0	0.051704799	5.392251572	0.135149745	0	12.74117924	4.946326829	0	0.086007793	64.9774176	0	2.230125742	1.77998184	2.596471323	0	0.012397914	0	0	0.721742392	0	0.148783864
AP007	0	94.01701021	45.72259508	240.3349811	542.2845312	37.74361296	0	5.656422831	1.758009471	0	0	0	15.30943814	0	0.400202054	0	0	0	16.77319696			0	14.37934882	0.105332969	23.03989117	50.14299261	4.112215492	0	1.922508373	5.787472465	0	0	0	0	0.163863643	0	0.01210925	0	0	0.334265212	1.484335398	0.545919815	1.128234806	0.520947492	0	0	2.083284327	0.176137782	0	5.027275753	7.931185649	0	0.114114643	72.1719392	0	1.87347248	2.163625395	1.465849431	0	0	0	0.521046298	2.461254731	0	0.331376804
AP010	0	88.47865439	76.61864229	349.7823824	296.3052894	73.60216541	4.559380449	11.77111279	35.32133843	1.542022498	0	0	53.87697561	0	0.06168707	0	0	0	8.080349299			0	9.70258604	1.006689095	37.54722118	28.55099954	8.374995043	0	2.736337357	5.885530708	0	0.108233569	0.170948537	0.918041799	4.832133263	0	0.016218092	0	0	0.150065774	3.728005359	0.191159006	0.362730114	1.226347412	0	0.081716195	5.10211944	0.165195008	0	12.36689437	4.421661336	0	0	63.96863723	0	1.548428115	2.560358457	3.268499539	0	0.056849741	0.23420726	0.146554871	0.443557397	0	0.127079144
AP015	0	106.6209232	32.4254706	335.6645127	427.8764053	0	3.163299145	35.80619106	6.423962216	0	0	0	40.91433708	0.024183159	0	0	0	0	11.08071553			0	19.20706468	0.362309157	32.77804904	42.48399928	0	0.307459217	1.157540313	1.6253198	0	0	0	0	2.075180649	0	0	0	0	0.003077863	0.984940536	0	0.135389867	0.192248362	0	0.015549904	2.780834383	0.058265226	0	6.919599816	6.024252484	0	0.920345751	73.03384256	0.108976186	1.914846482	2.221044552	3.129698624	0	0	0	0	0.999375055	0	0.560790212
AP016	0	86.74350707	26.2945895	211.6707482	567.311851	31.59584833	1.599674928	11.7326381	32.41581566	0	10.07252886	0.63300014	11.8472284	0	0.759352874	0	0	0	7.323216936			0	7.983750025	1.127951188	24.65962311	56.87294053	1.849519442	0	1.345585964	3.387994878	0	0	0	0.062486362	2.13590327	0	0.035088212	0	0	0.53915702	6.623647182	0.056035874	1.085534761	1.322503416	0	0.146053071	5.829492115	0.255077792	0	11.47445985	7.318543285	0	0	52.89592039	0.080005873	3.25046629	1.907957099	5.00811877	0	0.020845139	0	0	2.493890908	0	0.231448188
AP018	0	31.6988701	28.4893202	441.0652998	53.54254739	203.3229871	0	0	0	0	0	0	81.9413743	0	0	0	0	0	159.9396012			0	5.612437683	0	65.70567999	4.246158596	12.69382655	0	0	0	0	0	0	1.506911136	9.447886573	0.787099468	0	0	0	0	5.91166462	0	2.114858005	11.0156253	0	0	0.705472581	0.616851577	0	24.66466043	4.272261979	0	0	17.94794209	0	9.206330751	2.258566204	3.182990525	0	0.01115529	3.925362044	0.281158554	12.91863128	0	0.966468765
AP020	0	63.93146944	49.7460308	176.0662573	600.7548477	58.46857577	0	13.52445484	7.938327009	0	0	0	10.41652251	0	5.579496078	0	0	0	13.57401848			0	8.450994164	2.372899916	17.30939789	59.47893582	4.27974889	0	1.306073947	5.191283329	0	0	0.443365662	0	0.32541387	0	0.841886506	0	0	0	0.762600592	0	0.018472498	1.429312412	0	0.082088624	3.77479384	0.086218895	0	1.547793517	4.836121438	0	0	82.6488372	0	0.352836826	2.403506431	0.954467246	0	0	0	0	0.765752908	0	0.337197578
