FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt
IL091	0	9.898334547	1.706821216	42.1917609	26.66172219	0	0.72284283	0.179595402	13.23610448	0	0.24558804	0	0	2.294466941	0	0.368960117	0	0	2.493803332
IL035	0	0	0	0	99.98941667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010583331
IL016	0	0	0	0	12.32025738	0	0	0	0	0	0	0	0	0	0	0	0	0	87.67974262
IL018	0	0	0	0	99.9994752	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000524803
IL039	0	5.415877872	0	0.726886236	91.68434138	0	0	0	0	0	0	0	0	0	0	0.107047495	0.113600895	0	1.952246122
IL040	0	11.16864801	1.14323051	13.9362529	71.91716226	0	0	0	0	0	0	0	0	0	0	0	0	0	1.834706317
IL045	0	0	0	0	99.93951251	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060487488
IL055	0	0.27502342	0	0.387236119	97.17005158	0	0	0.242511984	0	0	0	0	0.183627128	0	0	0.074596683	0	0	1.666953086
IL004	0	0	0	0	97.75107718	0	0	0	0	0	0	0	0	0	0	0.030946219	0	0	2.217976602
IL015	0	8.555910244	1.794338876	14.31179383	44.56994742	0	0	0	0	0	0	0	0	0.000170722	0	0	0	0	30.76783891
IL034	0	0	0	0	99.13439198	0	0	0	0	0	0	0	0	0	0	0	0	0	0.865608021
IL038	0	0	0	0	99.59402858	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405971417
IL046	0	0	0	0	99.23729901	0	0	0	0	0	0	0	0	0	0	0	0	0	0.762700986
IL062	0	4.673664805	0	6.816541794	86.32491937	0	0	0.284897365	0	0	0	0	0	0	0	0	0	0	1.899976669
IL085	0	0	0	0	1.938779401	0	0	0	0	0	0	0	0	0	0	0	0	0	98.0612206
BO001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL012	0	0	0	0	94.88956805	0	0	0	0	0	0.153960637	0	3.06804728	0	0	1.888424037	0	0	0
IL064	0	15.53576426	1.466563861	32.05922913	33.85610013	0.154707313	4.241803944	2.958394169	2.797115032	0	0.410717813	0	0	1.312577179	0	0.357697898	0.111926588	0	4.737402688
IL006	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL007	0	0	12.62471726	5.868331357	32.48161297	0	5.814608115	0.145500587	0	0	0	0	0	3.190591886	0	0	0	0	39.87463782
IL013	0	0	0	0	99.63874637	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361253633
IL014	0	3.148872072	0.549340015	1.257018358	91.34731555	0	0	1.34807041	2.253161995	0	0	0	0	0	0	0	0	0	0.096221601
IL020	0	0	0	0	99.98321017	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016789829
IL063	0	15.94453687	1.088742779	7.413892079	71.78580585	0.009501959	0	1.200752374	0.621216575	0	0	0	0.15057017	0.428664398	0	0	0	0	1.356316944
IL003	0	0	0	0	99.72915353	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270846473
