FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk13_Wein	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%FlaecheBesondererFunktionalerPraegung	%FlaecheGemischterNutzung	%Friedhof	%Halde	%IndustrieUndGewerbeflaeche	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaeche	%Bergbaubetrieb	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Wald	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
IN115	0	0	0	0	0.011418225	0	1.840375868	0	0	0.946162866	0.243375937	0	1.174592078	95.22889654	0	0	0.555178483	0	0	0	0.960678008	3.79937156	0.658773077	93.31339493	0	0	0.020630798	0	0	0	0	0	0	0	0.064409064	0	0	1.182742562	0.236455548	0.518541148	0.047468179	0	1.525811353	0.90780237	0	2.384831455	0	0	19.43206266	0	0	6.827886207	30.82707017	2.249418056	2.214052327	2.42879654	0	0.185071909	0	2.16983558	0.003138958	0	28.04175755
IN134	0	0	0	0	0	0	0	0	0	3.097231324	0.754227651	0	0.256827479	95.85640968	0	0	0.035303869	0	0	0	0.208330644	0	0.80012225	98.53225243	0	0	0.34569942	0	0	0	0	0	0	0	0.013152111	0	0	0.100443144	0.811568257	0.903194464	0	3.27053E-05	3.431669237	1.033058402	0	0.9526558	0	0.152989945	17.74854353	0	0.061587176	6.839019114	35.03203379	4.163559989	1.269869056	2.11183028	0	0.049409912	0	0.000593713	0.395691199	0	25.04269343
IN121	0	0	0	0	0	0	1.181047397	0	7.566747633	0.538777757	10.67100441	12.16400173	0.092576055	64.3268515	0	0	3.458993522	0	0	0	5.03034778	3.882691663	1.903000573	64.15508194	0	0	8.004557544	0	0	7.58547649	0	0	0	0	0.903256099	0	8.53558791	0	0.12054446	0.611265569	0	0	0.332457436	0.406073566	0	1.185312046	0	0	28.14814488	0	0	12.05773582	21.02375526	2.68647122	1.952491598	0.714242565	0	0.227049602	0	3.801058057	0.820505618	0	25.9128923
IN123	0	0	0	0	0	0	0	0	0	0.69092188	0.054643876	0	0	99.25443424	0	0	0	0	0	0	0.305774227	0	0.011275677	99.51869888	0	0	0.075452703	0	0	0	0	0	0	0	0	0	0	0.088798514	0.045035407	0.732196336	0	0	0.354194733	0	0	0.461962648	0	0	27.08930322	0.212772743	0	8.226750062	33.15650534	6.166544293	0.673100588	1.400497075	0	0.017283604	0	0	0.346687733	0	21.11716621
IN128	0	0	0	0	0	0	0	0	0	5.987390298	0	0	1.413409304	92.5992004	0	0	0	0	0	0	1.396722304	0	0	97.03957949	0	0	0	0	0	0	0	0	0	0	0	0	0	1.563698204	0.059655245	0.940395716	0	0	2.016432318	0.31366914	0	0.719897173	0	0	10.88381964	0.529189803	0	5.669502512	49.41925515	1.789850125	0.530482263	1.205277792	0	0.248585351	0	0	1.535440881	0	24.13854689
IN117	0	0	0	0	0	0	0	0	0	0.98094681	2.399058541	0	0	96.12946815	0	0	0.490526495	0	0	0	1.802761396	0	0.161088805	96.78863024	0	0	1.247519563	0	0	0	0	0	0	0	0	0	0	0	0	1.023370685	0	0	0.939655591	1.77436701	0	0.930811335	0	0	11.82246688	1.482001878	0	5.935329102	40.45443247	3.257517684	0.687987402	0.922471835	0	0.125958051	0.004865692	0.033401231	1.920598057	0	28.6847651
IN129	0	0	0	0	0	0	0	0	0	0.248413002	0	2.720278507	0	97.03130849	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143969308	0	0	5.890425426	0	0	2.29365028	0	0	15.83789006	0	0	7.331207188	19.3844982	15.24384949	1.369621741	4.571094945	0	0.229571688	0.016754054	0.904686936	0.210668117	0	26.57211256
IN133	0	0	0	0	0	0	0	0	0	2.15598221	8.065137162	0.354041274	2.778682189	86.32828088	0	0	0.317876283	0	0	0	3.469265707	0.38393729	2.60615117	87.76703071	0	0	3.158300069	0	0	0	0	0	0	0.366422968	0.554736	0	0	1.694156083	0.008872246	1.567486685	0	0	1.068893525	0.560857779	0	1.676609588	0	0	34.41173821	0	0	8.292642221	29.76770914	3.783411204	1.236362199	2.0962969	0	0.04460506	0	0.1946339	0.764300842	0	14.52558049
IN140	0	0	0	0	0	0	0	0	0	7.403884595	0	0	0	92.5961154	0	0	0	0	0	0	0	4.249806384	0	95.74640626	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003787352	0	0.261439942	0	0	0.728994488	0.018459962	0	0.626457306	0	0	7.67030358	0.033047705	0	9.846256245	49.89163275	2.486416786	0.42286005	1.001617347	0	0	0	0	1.873445913	0	25.13906792
IN143	0	0	0.038592894	0	0	0	0	0	0	0.711719989	1.075930724	0.003115866	0.763953723	97.10633307	0	0	0.300353732	0	0	0	2.800224911	0	0.84809667	93.98961793	0.18416865	0	0.228898023	0	0	0	0	0	0	0	0.064881744	0	0	1.884112074	0	1.115130047	0	0	1.106093888	0.179677487	0	0.264286832	0	0	28.6272854	0	0	12.41692348	25.36894995	7.876187904	0.820736434	1.871790075	0	0.069575395	0	0.195237342	0.113622833	0	19.97450293
