FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser			%ivk13_Wein	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Gehoelz	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Wald	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
IN002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
IN153	0	0	0	0	1.942331051	0	0	0	0	0	1.323705369	4.374546512	18.57056159	34.61418252	0	0	0.250350128	38.92432283	0			0	4.894192579	0.251098445	28.29157002	32.29108333	0	0	0.502317772	32.4013857	0	0	0	0	0	0	0	0	0	1.368352156	1.097286618	0	0.70933577	0.99104476	0	0.073223869	0.136225633	0.182702563	0	7.841765746	0	8.773686813	0	1.041325612	8.783090435	15.12248544	1.668278426	0.808047464	0.008067718	0.068102024	0	0.215800092	1.91126425	0	50.56826677
IN156	0	0	0	0	0.964517033	0	0.001836997	0	0	0.749069976	19.22887953	4.525942779	27.59070906	25.04920023	1.43328302	0	0.800895907	19.65566547	0			0	15.96904505	1.891073231	37.98970862	21.32607593	1.435473648	0	0.272158538	19.26459235	0	0	0	0	1.266691081	0.236756868	0	0	0	0.348424697	0.873805765	0	0.482731881	1.009614217	0	0.086029154	0.535511667	0.137799951	0	6.217060565	0	12.84444233	0.003565705	0	7.486542545	25.63065885	2.013828057	1.1761849	0	0.079560374	0	0.432207964	3.120235986	0	37.87022009
IN157	0	0	0	0	0	0	0	0	0	0.123416365	0	0	0	31.93449402	0	0	0	67.94208962	0			0	68.81832817	0	0	31.18167183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.89667565	0	1.302741846	2.160797992	0	2.206812592	7.517345552	12.56936613	0	1.713767553	0	2.078905016	0	0	2.831636545	1.424142084	1.862967299	6.543187204	0	0.657789262	0	2.364633438	0	0	46.86923184
IN158	0	0	0	6.183473841	1.47790112	0	0	5.378703748	0	0.439952216	19.01490102	2.982901965	19.24602592	26.92895998	0.533781722	0	5.054621083	12.75877738	0			0	12.98116914	3.38169074	37.51075533	21.33957136	0	0	3.648549953	11.72440972	0	0	0	4.647106092	1.207656254	0	0	3.382810709	0	0.176280694	3.571036041	0.000730401	1.40006863	1.455752305	0	0.140824793	1.450988563	0.702515449	0	2.572012627	0	20.18772375	0	0	4.709721899	35.22167679	1.209048846	1.812052296	0	0.263905684	0	0.081309018	0.31308528	0	24.90754763
IN159	0	0	0	0	1.787856286	0	0	0	0	1.035849317	10.77208122	0.840527594	21.59580201	55.78291744	0	0	1.658721235	6.526244901	0			0	15.7282542	0.507276365	21.33170668	49.97292547	0	0	2.117050942	6.002751029	0	0	0	0	3.676667119	0	0	0	0	0.663368197	1.26318923	0.030019938	0.548174458	0.797433991	0	0.002991495	0.864279258	0.477246372	0	3.282314668	0	19.73189494	0.198471017	2.218693789	5.179595101	24.23798212	1.518533477	0.843432383	0.002001105	0.082036095	0	0.167308786	0.99681622	0	37.55758556
IN162	0	0	0	0	0.257970418	0	0.210062848	0	0	2.148820202	18.41188348	0	5.200016397	69.28875817	0.166977819	0	2.750656469	1.564854204	0			0	17.78816837	0	7.441399233	64.49936681	0.075417252	0	7.54035587	0.675117991	0	0	0	0	0	0	0.212025988	0	0	1.768148487	2.780039897	0.515252716	1.481305503	2.823527415	0.017678662	0	0.85702277	0.522332531	0	5.756491122	0	23.34566957	0.019592732	0	9.691514886	17.94493985	2.914507466	5.501286978	0.046994805	0.172740215	0	0.633738567	4.464433234	0.036255527	20.47467555
IN165	0	0	0	0	0	0	0	0	0	12.93846828	0	0	0	87.06153172	0	0	0	0	0			0	0	0	0	65.53059622	0	0	0	0	0	0	0	0	0	0	0	0	0	34.46940378	0.087481857	0.054257839	0.140332791	0.310062328	0	0	0.323064194	0.036957837	0	7.452361061	0	30.83185784	0	0	9.736797191	43.19869371	0.701114176	0.7619841	0	0.117206908	0	0	3.117619413	0.000762208	3.129446544
IN171	0	0	0	0	0	0	0	0	0	37.19394481	0	0	0	62.80605519	0	0	0	0	0			0	0	0	0	63.91120113	0	0	0	0	0	0	0	0	0	0	0	0	0	36.08879887	5.492359382	0	0.699455102	2.381242336	0	0	1.028385179	0.401365424	0	4.72057513	0	10.18334383	0	0	7.70762077	58.51938164	1.105483465	2.363219346	0	0.327198406	0	0.704903742	0.09248162	0	4.272984631
IN175	0	0	0	0	0	0	0	0	0	8.920845433	2.052043006	0	0	89.02711156	0	0	0	0	0			0	0	0	0	91.01536949	0	0	1.387340429	0	0	0	0	0	0	0	0	0	0	7.59729008	4.820620069	0	0.288469246	0.958955008	0	0	1.161146013	0.364930078	0	2.175612931	0	29.83977548	0	0	5.135969814	47.01801932	0.809186016	3.17910902	0	0.43900251	0	0.319920711	0.556029859	0	2.933253925
IN178	0	0	0	0	0	0	0.623904107	0	0	0.521907781	0	0	0	98.85418811	0	0	0	0	0			0	0	0	0	99.35459583	0	0	0	0	0	0	0	0	0	0	0.640874129	0	0	0.00453004	2.088998649	0	0.00306893	0.098834064	0	0.031787207	0.772282874	0.122084339	0	1.720541823	0	52.33082694	0	0	7.649151446	31.39187045	0.971617245	1.024395589	0	0.070829026	0	0	0.012553496	0	1.711157914
IN179	0	0	0	0	0	0	0	0	0	3.888239224	8.731275354	0	0	87.38048542	0	0	0	0	0			0	7.951636087	0	0	88.24472936	0	0	3.803634548	0	0	0	0	0	0	0	0	0	0	0	15.88688245	0	0.289102026	4.374589058	0	0	1.400464953	0.583984319	0	2.583928242	0	30.17082982	0	0	5.065122817	25.37053093	1.64548501	4.421168096	0	0.11318205	0	0	0.189029406	0	7.905700826
IN181	0	0	0	0	0	0	0	0	0	0	1.108512186	0	2.345233712	96.5462541	0	0	0	0	0			0	3.671156573	0	0.393259922	95.1488414	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786742108	2.155130421	2.750471315	1.062231325	1.985538358	0	0	1.646447611	0.032997505	0	3.218375641	0	24.23230347	0	0	8.27503196	48.14918473	1.163624877	2.57607935	0	0.2756497	0	0.6651165	0.377647053	0	1.434170183
IN182	0	0	0	0	0	0	0	0	0	0.473409731	31.05701839	0	2.213067114	64.30553898	0	0	1.950965782	0	0			0	40.09424461	0	6.060484013	53.20885908	0	0	0.636412294	0	0	0	0	0	0	0	0	0	0	0	2.760991929	0	1.931090956	1.966744867	0	0	1.384600779	0.32282577	0	9.751221156	0	49.04647735	0	0	4.531641358	6.568961518	1.649338775	7.139908663	0	0.123936767	0	1.157679686	1.100471746	0	10.56410868
IN183	0	0	0	0	0	0	0.112185235	0	0	2.652956508	7.076917323	0	3.850194432	83.22175401	0	0	2.458181289	0.627811204	0			0	13.48610963	0	3.022983063	77.69802139	0	0	5.032352738	0	0	0	0	0.292960348	0	0	0.114218655	0	0	0.353354182	8.852620808	0.157680808	0.745960657	0.485470316	0	0	2.673688855	1.494567971	0	2.65803973	0	50.52392386	0.146024006	0	6.486423987	15.07835922	1.816072172	3.209900901	0	0.184052937	0	0.375469385	1.366220084	0	3.7455243
IN184	0	0	0	0	0	0	0	0	0	2.57647807	0	0	0	97.42352193	0	0	0	0	0			0	0	0	0	97.42169811	0	0	0	0	0	0	0	0	0	0	0	0	0	2.578301888	1.783344889	0	0.0041864	0.04221958	0	0	0.457606006	0.228931413	0	0.930182219	0	21.19809351	0	0	2.419989965	69.74611788	1.330002824	0.408175061	0	0.062637906	0	0	0.015268574	0	1.373243782
IN189	0	0	0	0	0	0	0.482221562	0	0	1.131282641	11.31407473	0.257896733	0.372732683	86.37194946	0	0	0.020210281	0	0.04963191			0	11.94510891	0.150810745	3.689741386	82.40905801	0	0	0.740277696	0	0.177979174	0	0	0.169279515	0	0.096394244	0.451427044	0	0	0.169923272	2.735611065	0.084117006	0.243660704	2.977220991	0	0.013044174	1.750249563	0.161696807	0	3.331551363	0	48.67944355	0.237760717	0.140767481	12.60303823	19.94830127	1.154625635	1.844488179	0	0.019237782	0	0.394683524	1.67539024	0	2.005111725
IN194	0	0	0	0	0	0	0	0	0	1.313748549	7.680614446	1.177776883	3.987247059	82.28148401	0	0	1.134947216	2.424181837	0			0	10.18046223	0	8.413981112	79.73222621	0	0	1.077613994	0.262161712	0	0	0	0	0	0	0	0	0	0.333554744	5.438102197	0.041775675	0.306904621	4.554553202	0	0.077527997	1.425041	0.34817968	0	3.877711859	0	31.91748084	0	0	9.836196283	29.28369345	1.693470107	5.036613541	0	0.107529558	0	0.556316295	1.169958062	0	4.328945629
IN196	0	0	0	0	0	0	0	0	0	0	19.48525253	0	15.99213356	50.37335446	1.08150685	0	4.431535265	8.636217339	0			0	23.73637946	0	14.31042112	49.48635317	0.314623183	0	4.090238771	7.693767873	0	0	0	0	0	0.368216435	0	0	0	0	9.43607358	0.076465967	0.503450199	0.386096568	0	0	1.816640717	0.043464581	0	6.487749086	0	35.08499551	0.795926011	0	14.59450429	17.08353402	1.654561836	2.994821382	0	0.369443063	0	0	6.671436392	0	2.0008368
IN197	0	0	0	0.298712897	0	0	0	0.234051284	0	2.393006614	11.47425849	0	5.861995127	76.94784071	0.232042266	0	1.151004723	1.407087889	0			0	13.70424535	0	5.963720465	75.95958053	0	0	1.960092871	1.578829099	0.535468685	0	0	0	0	0.002308223	0	0.244478612	0	0.051276165	18.76951057	0	2.44379872	5.755710917	0	0.327473968	3.162325134	1.205754779	0	5.67206218	0	24.52564445	0.007986704	0	10.97788136	8.836933795	2.324234107	4.90382215	0	0.094867254	0	0.769616187	1.461562999	0	8.760814722
IN198	0	0	0	0	0	0	0	0	0	0.850598793	4.152777335	0.086778272	2.529535849	90.57817275	0	0	1.802137001	0	0			0	4.961398531	0	6.145155849	86.30352289	0	0	1.047746712	0.363181267	0	0	0	0	0	0	0.009109346	0	0	1.169885407	6.40283289	0	0.552174246	2.302931872	0.015605096	0.155141647	2.896738632	0.815862615	0	2.866136533	0	45.67774673	0.988187002	0	11.58564577	14.99752004	1.438152718	2.817135516	0	0.251718249	0	1.66056548	0.119138147	0	4.456766821
IN199	0	0	0	0	0	0	0.075163581	0	0	4.180093848	0	0	0	95.74474257	0	0	0	0	0			0	0	0	0	64.52920948	0	0	0	0	0	0	0	0	0	0	0	0	0	35.47079052	5.458246535	0.271857447	0.492647256	0.904534548	0	0.006098969	0.81033942	0.329778687	0	10.92524096	0	33.32020445	0.004288181	0	12.6236702	26.52964014	1.432515318	2.113106523	0	0.328183104	0	0	0.409236669	0	4.040411597
IN200	0	0	0	0	0	0	0	0	0	0.056575608	0.14636434	0	0.865442487	98.84897685	0	0	0.082640711	0	0			0	3.613318344	0	1.57089097	94.29885854	0	0	0.516932141	0	0	0	0	0	0	0	0	0	0	0	0.629946113	0	0.00336742	2.033009387	0	0.013421728	1.514690803	0.01584716	0	3.477796508	0	53.43167975	0	0.001869317	8.637723767	20.39318664	1.300603779	1.63741232	0	0.011621577	0	0.066952167	3.798637205	0	3.032234362
IN206	0	0	0	0	0	0	0	0	0	5.544850015	0	0	0	94.45514998	0	0	0	0	0			0	0	0	0	94.38103732	0	0	0	0	0	0	0	0	0	0	0	0	0	5.618962683	10.01712228	0	3.147691273	2.636853052	0	0	1.719786632	0.371909488	0	5.645846531	0	31.11699958	0	0	18.60283951	17.86489899	1.284986155	3.084087475	0	0.720658478	0	0	0.84775782	0	2.938562744
IN208	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0			0	2.365620413	0	0	96.57426179	0	0	0	0	0	0	0	0	0	0	0	0	0	1.060117792	5.027394862	0	0.027233394	3.43554514	0	0	2.466586084	0.028737168	0	11.9943371	0	54.40259821	0	0	13.71153344	3.351913438	0.934989795	2.732709711	0	0.021181754	0	0.249436707	0.009536999	0	1.606266194
IN209	0	0	0	0	0	0	2.767187425	0	0	0	0	0	0	97.23281257	0	0	0	0	0			0	0	0	0	96.90907678	0	0	0	0	0	0	0	0	0	0	3.09092322	0	0	0	5.801698818	0	1.419285487	0.554178537	0	0	0.308667608	0.374159522	0	5.869761487	0	35.02895571	0	0	21.88288822	24.39764498	1.767206239	1.211877864	0	0.007202773	0	0	0.140024655	0	1.236448102
IN212	0	0	0	0	0	0	0	0	0	0.167005288	1.268503254	0	0	98.56449146	0	0	0	0	0			0	0	0	0	99.14257712	0	0	0.857422881	0	0	0	0	0	0	0	0	0	0	0	2.579527756	0	0.519032282	1.780103525	0	0.022733131	1.901603527	0.13697924	0	1.105587818	0.093439355	53.54640427	0	0	7.854970757	24.24759924	1.204452678	1.958766526	0	0.098746197	0	0.24682415	0.421626856	0	2.281602691
IN224	0	0	0	0	0	0	0	0	0	1.109925861	3.014749788	0	2.75488E-05	95.82624685	0	0	0.04904995	0	0			0	1.781980633	0	2.401646312	94.9604447	0	0	0	0	0	0	0	0	0	0	0	0	0	0.855928351	1.503861139	0	0.078931357	0.270488163	0	0	1.497129392	0	0	9.555046497	0	31.37701873	0	0	7.598489088	38.80096918	0.945642087	1.831254051	0	0.005719215	0	0	0.043216403	0	6.492234703
IN225	0	0	0	0	0	0	0	0	0	1.289461625	0	0	0	98.71053837	0	0	0	0	0			0	0	0	0	98.42785674	0	0	0	0	0	0	0	0	0	0	0.403401659	0	0	1.168741601	3.104517485	0.026756997	0.257903678	0.520634574	0	0	0.406928993	0.013921342	0	4.431335504	0	39.74053013	0.795238426	0	16.82186039	28.27725254	1.226585451	1.642539901	0	0.179286424	0	0.344732388	0.327935627	0	1.882040145
IN226	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0			0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.290867024	0	0.048865132	1.569538013	0	0	1.578241493	0	0	5.250943262	0	17.3757835	0	0	6.080238858	55.83561537	0.219760079	3.60418436	0	0	0	0	0	0	5.14596291
IN228	0	0	0	0	0	0	0	0	0	1.494212674	0	0	0	98.50578733	0	0	0	0	0			0	1.957521248	0	0	97.22296181	0	0	0	0	0	0	0	0	0	0	0	0	0	0.819516938	1.585050784	0.394610278	0.196320691	1.428985061	0	0	1.494062507	0.064738892	0	6.442599827	0	52.58677413	0.033490423	0	9.686273371	18.64896705	1.198288016	1.802571062	0	0	0	0	0.097529311	0	4.339738602
IN233	0	0	0	0	0	0	0	0	0	12.43462599	3.318032385	0	0	81.6525405	0	0	2.594801128	0	0			0	8.867697303	0	5.281158115	84.70402841	0	0	1.147116171	0	0	0	0	0	0	0	0	0	0	0	24.50527337	0	1.503763744	9.532959727	0	0.019828706	2.296010947	0.79506867	0	2.893347829	0	13.5427401	0	0	7.643164163	20.77737473	1.236504886	6.167060114	0	0.301309564	0	2.796764277	0.274263014	0	5.714566165
