FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk13_Wein	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%Bergbaubetrieb	%FlaecheBesondererFunktionalerPraegung	%FlaecheGemischterNutzung	%Friedhof	%Halde	%IndustrieUndGewerbeflaeche	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaeche	%Gehoelz	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Wald	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	Flieﬂgewaesserdis	Hafenbeckendis	stehende_Gewaesserdis
IS114	0	0	0	0	0	0	0	0	0	3.473121229	0	0	0	96.52687877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.208764618	0	0	0	97.79123538	0	0	0	0	0	0	0.455397935	1.31359616	0.076059075	0	1.115003711	0.615382757	0	6.275329107	6.71410931	0.046547117	31.18065623	0	0	11.12128504	34.55859337	1.366671635	2.246642129	0	0.132022494	0	0	2.710295168	0	0.072408767
IS205	0	0	0	0	7.489768381	0	0	0	0	3.823580506	12.33625481	7.742020525	51.12728035	6.000854445	6.972897718	0.236712111	0.72915318	3.541477977	0	0	0	0	0	9.176265299	0	2.211573859	0	0	0.662867487	16.87852358	2.968784257	47.34480365	6.204398253	4.854560059	0	0.228952829	9.371274003	0.097996723	0	0	1.673862622	0	0	0.022670705	4.164851339	0	1.430941411	8.820165627	0	52.62000798	0.295001872	0	1.283526586	2.644697642	1.644811599	3.218811154	0	0.106091645	0	0	4.969680377	0	17.10487944
IS324	0	0	0	0	4.377214775	0	1.586155944	0	0	0.928148484	15.06927485	1.109910096	36.76841315	33.22701868	0	0.145090066	2.374348293	4.414425658	0	0	0	0	0	3.771540361	0	0	0	0	0.365472216	12.12041749	1.472096998	26.35318779	35.0859542	0	0.920782608	1.779947095	18.13060124	0	0	0.789145497	3.137853797	0.111063387	0	6.562659698	2.527053562	0	4.768355554	3.52477403	0	51.54120246	0	0	6.440271499	4.64639572	1.923161735	4.448696452	0	0.038196579	0	0.947836014	8.304067113	0	0.289266904
IS091	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0.443143581	1.800105315	0	0	2.479167448	2.041873141	0.39673631	7.693109387	7.281755176	0	18.83211432	0.114142453	0	5.116470134	25.50692999	1.291798682	4.87392903	0	0.724236087	0	0	21.32059767	0	0.083891287
IS170	0	0	0	0	0	0	0	0	0	2.341836952	0.606687846	0	0	97.0514752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14761643	0	0	0.060176103	99.79220747	0	0	0	0	0	0	0.062204971	0.470175811	0	0	0.396085922	0.621231714	0.048789641	1.150232589	4.259477881	0	40.91819715	2.225609511	0	12.58375835	31.07891007	1.476846606	0.832841504	0	0.049815067	0	0.07955801	3.629157693	0	0.117107509
IS275	0	0.044451393	0	0	4.295732327	0	0	0	0	0	15.11902079	5.432019703	32.2672314	36.54908018	0.25628672	0	2.667265251	3.368912235	0	0	0.165167871	0	0	2.852742326	0	0	0	0	0	19.00190752	2.582951443	33.08280928	31.71862456	0.499245816	0.391724742	1.971315301	7.733511139	0	0	0.099203065	3.967490945	0.045958954	0	0.42826351	13.58996229	1.506917575	2.240474685	1.799210078	0	54.65255452	0	0.003494423	4.273394408	11.64384712	2.291676835	1.391929652	0	0.102303107	0	0	1.156452176	0	0.806866664
IS082	0	0.013102795	0	0.908628492	4.449892481	0	0	0	0	0.449296498	13.10415839	7.089596028	25.50545005	37.21586426	1.171624558	0.285634869	0.291346192	9.515405388	0	0	0.013604883	0	0.366108369	3.884142869	0	0	0	0	0.108703864	7.420617052	4.861550774	18.62551102	40.25446409	2.321274476	0.234044175	0.647167196	21.26281123	0	0	0.717515662	0.964580096	0.276313655	0	1.458950566	1.235549516	0.044060039	2.46641262	7.907886917	0	12.73940413	0	0	10.87832035	16.83914895	3.153223772	2.009706508	0	0.285689864	0	0.021527044	37.94815445	0	1.053555861
IS086	0	0	0	0	0	0	0	0	0	1.944247384	0	0	0	98.05575262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317188032	0	0	0	99.68281197	0	0	0	0	0	0	6.104589138	1.182368059	0	0	2.5850172	3.346338756	0.312897463	8.312804433	11.03214796	0	17.60908738	0	0.179996654	3.75712802	23.16599821	1.346015872	5.950264756	0	0.442751838	0	0.907792271	10.65766446	0	3.107137534
IS093	0	0	0	0	0.724364487	0.397255549	0	0	0	34.25884302	6.319005329	4.963947137	14.273514	27.08214082	0.553681157	0	1.04380523	10.38344327	0	0	0	0	0	9.088870485	0.658138889	0.579824851	0	0	1.012048299	9.923123187	8.316736006	26.48430342	37.09076269	2.477292001	0.006704861	0.001753068	4.360442238	0	0	0.318380171	0.338251583	0.239970575	0	0.888472889	3.857870646	0	2.385257842	2.314524397	0	10.27421502	0	0	4.994907045	51.24573467	2.747803302	1.50052096	0	0.261530879	0.252264059	0.182971379	17.91651487	0	0.28080971
IS195	0	0	0	0	0	0	0	0	0	0.344258367	0	0	0	99.65574163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	13.89955987	13.10365795	2.51147E-05	0	5.999738936	5.523630399	0	30.53724208	0.437107451	0	3.746231239	0.240518109	0	0.315508885	2.796556565	1.407769633	14.14799113	0	1.41541974	0	1.260696036	5.168346863	0	0
