FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_mehrjaehrige_Graeser	%ivk07_unbekannt	%ivk13_Wein	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaech	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%Gehoelz	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
IL332	0	0	0	0	5.84373974	0	0	0	0	0	0	0	0	0	0	0	0	0	94.15626026	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.80929391	0	17.35750313	8.1128193	0	0	1.952128534	1.698959229	0	9.804374903	10.13913834	0	1.068848238	0	0	0.937524205	2.525489337	7.774054068	0	0.199368543	0	1.272988458	0	0	22.34750981
IL333	0	0	0	0	2.12562629	0	0	0	0	0	0	0	0.203795563	0	0	0	0	0	97.67057815	0	0	0	0.551319023	99.44868098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.009330304	0.079141394	0	0	0	0.036281656	0	51.32363907	2.317023676	0	14.40816296	0	0.386960598	1.314741827	4.055592866	0.120678836	0	0.033983089	0	0	3.303928122	0	21.6105356
IL336	0	0	0	0	67.64097685	0	0	0	0	0	0	0	0	0	0	0	0	0	32.35902315	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.897348531	0	3.272841839	1.544156474	0.156982458	0.24987567	1.86844211	7.578995712	0	22.71286141	6.768461984	0	18.70279562	0	0	2.501699954	2.024093099	5.146564587	0	0.166224406	0	0	0	0	20.40865615
IL339	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090137974	0	0	55.34664942	12.77051196	0	15.79337915	0.377230243	0	9.461600378	1.238560434	0.160117582	0	0	0	0	0	0	4.761812863
IL354	0	0	0	0	99.45015421	0	0	0	0	0	0	0	0	0	0.094357743	0	0	0	0.455488048	0	0	0.122009118	0.141375332	99.37064562	0	0	0	0	0	0	0	0.203026671	0	0	0.107788619	0	0	0.055154635	1.042261045	0.049700473	0.713670599	1.222548866	0	0	0.632652427	0.126644084	0	47.73849585	8.753953097	0	26.89914925	0.124083665	0.021471	1.584044602	2.008359807	1.267767152	0	0.143174295	0	0	1.611462264	0	6.060561517
IL373	0	0.854768282	0	0.404793408	96.29278079	0	0	0	0	0	0	0	0	0	0.191054825	0	0	0	2.256602692	0	1.322877059	0	1.071999858	96.50552433	0	0	0.639481581	0	0	0	0	0	0	0	0.181413847	0	0	0.278703325	0.526779133	0	0.158580965	0.342292361	0	0	0.798489776	0	0	42.37794565	1.479457337	0	44.84656236	2.455672378	0.015806248	2.361259367	1.017471666	0.570763678	0	0	0	0	0.947822045	0	2.101097038
IL379	0	4.519541498	0.878565898	21.40770869	64.50124099	0	0.187045406	1.638839168	1.6648974	0	0	0	3.550204809	0	0.203565686	0	0	0	1.448390456	0	7.269058958	0	16.32090343	64.45225247	0	0	1.399576887	3.142434276	0.401947314	0.065149037	0	0	6.460716786	0	0.314775517	0	0	0.17318532	5.39549705	0	0.543040762	1.467549638	0	0.088474212	3.742089376	0.33787071	0	18.48686356	1.216636702	0	58.36243638	0	0	1.809083161	1.67771207	2.586589385	0	0.045517046	0.024916324	0.034565197	1.988850839	0	2.192307588
IL387	0	10.38183048	1.513502228	27.98217199	38.66688338	0	0	2.341490986	0.190755582	0	0	0	0	0	0	0	0	0	18.92336536	0	17.95650849	2.380620556	19.03808693	55.03074217	0	0	2.698707244	2.895334608	0	0	0	0	0	0	0	0	0	0	3.505874604	0	2.422784015	0.315890097	0	0	0.05059882	0.176044482	0	46.56576997	3.168576474	0	13.42653686	0	0	10.55176845	4.078302987	1.341816164	0	0.130634715	0	0	0.858634747	0	13.40676761
IL389	0	0	0	0	98.84684308	0	0	0	0	0	0	0	0	0	0	0	0	0	1.153156922	0	0	0	0	98.97466648	0	0	0	0	0	0	0	0	0	0	0.045981365	0	0	0.979352155	0.903023753	0.500723208	0.376793374	0.516243056	0	0	0.629034048	0.052763243	0	44.31836876	2.442850447	0	39.65464733	0	0.107371621	1.691244759	1.382009914	1.787592924	0	0.114523592	0	0.223671877	0.220722916	0	5.078415171
IL390	0	0	0	0	98.66825346	0	0	0	0	0	0	0	0	0	0.00188117	0	0	0	1.329865366	0	1.810076791	0	0	97.72421215	0	0	0	0	0	0	0	0.057132789	0	0	0.001856549	0	0	0.406721723	1.063860505	0	0.259319608	2.039522447	0	0.007350793	0.844325052	0.057942767	0	11.59852955	4.409974579	0	67.68687245	0.003303688	0	0.292716319	1.320991223	1.812517583	0	0.028857843	0	0.161769157	0.109960956	0	8.302185487
