FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk13_Wein	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%FlaecheBesondererFunktionalerPraegung	%FlaecheGemischterNutzung	%Friedhof	%Halde	%IndustrieUndGewerbeflaeche	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaech	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
UM328	0	0.066377001	0	2.302587783	2.297824117	0	0.021036228	0	0	4.94543731	6.522620149	5.663605179	17.16381274	50.41853566	0	0	0	10.59816383	0	0	0.216922852	0	0	16.75613873	0	0	0	0	4.748889879	5.465700418	4.443874736	15.03453679	52.50278913	0	0	0.83114746	0	0	1.118374915	1.249093394	0	0	10.60358805	2.937936957	0	8.089646188	0	16.82672921	9.052007186	0	0	34.10415504	0	4.690512805	0	6.03129761	0	0.248348637	0	0	0.069921587	0	4.978388421
UM232	0	0.101737814	0	0.108088075	0.178327165	0	0.016831294	0	0	1.888685213	3.905394129	1.02320333	2.795753808	89.1635159	0.07731596	0	0.741147308	0	0	0	0.080348956	0	0.134246485	0.21998647	0	0.004504514	0	0	1.769430627	3.170923744	0.174823779	2.464860926	90.45245283	0.075546111	0	1.45287556	0	0	0.243106128	1.23880791	0.07012534	0	1.748256045	1.51051263	0	4.312245036	0	45.96957281	4.369702148	0	0	33.3434341	0	2.337151864	0	3.292439439	0	0.042303354	0	0.316749832	0.252368492	0	0.953224878
UM266	0	0.029288032	0	0	3.342973879	0	0.079110816	0	0	0.583410835	4.846691852	7.448795908	37.67036874	39.0866579	2.805833831	0.504538036	3.13940041	0.462929768	0	0	0.041520047	0	0	2.648394164	0	0.038805669	0	0	0.770431877	5.248947529	2.947674526	41.73618689	38.80229875	2.20386504	0	5.228828953	0.333046558	0	0.419892034	3.604602691	0.033259138	0	1.521712364	0.961065307	0	3.386327878	0	14.00524215	4.603712194	0.001308201	0	62.07074785	0	3.291781772	0	3.755921356	0	0.002311234	0	0	0.279789196	0	2.062326632
UM295	1.026425183	0	0	0	3.991445484	0.139441427	0.063570054	0	0	1.00647967	0.467254642	3.359165006	9.633614781	80.31260375	0	0	0	0	0	1.713468561	0	0	0	0	0.523061658	0	0.085352979	0	2.269716044	0.389699267	1.364045758	11.82875331	78.82653692	0	1.245424512	1.753940991	0	0	0.848342331	1.237154016	0.161542899	0	3.834593711	3.767961339	0	10.17433495	0	18.27067688	6.446887768	0	0	41.06528253	0	4.708948021	0	5.988541322	0	0.273513237	0	0.037722531	0	0	3.184498463
UM358	1.129549114	0.742441673	0	2.041826838	7.684253185	0.006475563	0.010111963	0	0	3.340027479	1.322727793	6.115783654	28.50725433	45.37059575	0	0.00099112	0.792011326	2.935950214	0	0.84565645	0.942730245	0	0.495970908	1.630601911	0.006452272	0.500552663	0	0	1.843704531	1.709337501	6.401777306	22.88857219	50.07147131	1.214610688	0	0.406741181	10.67949717	0.362323679	1.327603141	3.895628951	0.219943095	0	3.810235373	3.988967715	0.035849721	14.75992983	0	1.902168204	8.830250057	0	0	42.63200602	0.004744379	5.849695473	0	6.108688311	0	0.604621757	0	1.720035725	1.887938013	0.017749841	2.403944396
UM330	0.222151018	0	0	0	17.02148507	0	0.024918949	0	0	1.4737577	0	6.2152822	39.2433862	24.75300883	0	0	0	11.04601004	0	0.411214619	0	0	0	26.75024221	0	0.102080135	0	0	1.142405129	1.078929452	3.83548892	39.8498385	24.23054838	0	0	0	2.599252655	0	2.351384695	1.61115414	0.224961501	0	8.537238039	7.286693747	0	15.98161373	0	4.14462885	8.237108723	0.18903442	0	36.08224328	0	5.455022086	0	6.025228622	0	0.216713854	0	0.447079133	0	0	3.209895176
UM096	0	0.002848173	0	0	15.78025111	0	0.258285894	0	0	4.109880104	0.513535339	8.830471724	61.03940749	7.111090528	1.992267486	0	0.361962152	0	0	0	0	0	0	15.1576497	0	0.021128039	0	0	4.28791762	4.300416515	9.222760609	56.77229192	6.937039655	1.35190502	0	0.006039125	1.942851799	0	0.22583756	4.106165977	0	0	6.172608051	3.763141218	0	5.443360578	0	3.806330454	4.332739499	0	0	64.27448659	0	2.585719552	0	4.943699317	0	0.069962798	0	0	0.012008106	0	0.263940301
UM235	0	0.309215825	0	0.005050574	2.964658859	0	0.173679543	0.035448407	0	1.407939732	5.070551615	7.594651992	13.69532165	65.31335276	0.056998062	6.82732E-05	2.52625418	0.846808532	0	0	0.389791617	0	0.199841753	0.569878577	0	0.043435373	0.028034998	0.077491847	0.204848303	3.74989171	3.785720218	13.46054282	70.3879047	0.422851306	0.170259511	5.457366806	1.052140464	0	0.596876923	4.722331861	0.139952223	0	2.553392371	1.116564499	0.022754473	12.94866454	0	9.458732483	7.38310878	0.165016876	0	47.00759624	0	5.883487028	0	5.578711926	0	0.089110933	0	0.795636814	0.357650277	0	1.180411754
LTH02	0	0.177511138	0	0.395234511	11.04452309	1.796017087	1.209757356	0	0	0.49320442	1.486137676	7.697168615	23.07984057	50.54988934	0.253410701	0.183934325	1.633371168	0	0	0	0.168409927	0	0.410250544	4.896125901	0	0.048661508	0	0	0.182786143	2.24431869	4.654702838	35.08384974	50.11040541	0	0.655706968	1.544782328	0	0	0.344793364	6.287088185	0.11068017	0	1.087866812	2.553587347	0	3.902502331	0	3.043659439	4.716183505	0	0	67.44916748	0	4.133329702	0	3.621339211	0	0.075830142	0	0	0.34263588	0	2.331336432
UM005	2.446797248	0.151673482	0	0.25293779	8.449393832	0	0.129068986	0	0	1.794954074	5.854075602	3.801313437	24.39737631	49.2092337	0.456250742	0.070075061	0.599633864	2.387215877	0	2.357548789	0.316489035	0	0.133479962	3.106230474	0	0.096878287	0	0	2.047115311	9.248377845	1.568777023	25.12006828	53.0456681	0.560306635	0.010668456	0.419252643	1.96913916	0	0.431890307	0.940158967	0.041865634	0.088782229	2.768413096	3.253750807	0.000560633	4.016027751	0	9.55862659	3.134720894	0	0	26.81893582	0	9.420881182	0	5.310932327	0.682914273	0.454709538	0	1.969007714	0.602329068	0.100832972	30.4046602
