FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk13_Weindis	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Bergbaubetrieb	%FlaecheBesondererFunktionalerPraegung	%FlaecheGemischterNutzung	%Friedhof	%Halde	%IndustrieUndGewerbeflaeche	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaech	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Bahnverkehr	%Flugverkehr	%Platz	%Schiffsverkehr	%Straﬂenverkehr	%Weg	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
NR247	0	2.831202332	0.021331132	2.35385755	92.7441385	0	0	1.219195075	0	0	0.032208573	0	0.028754975	0	0	0.117425264	0	0	0.651886599	0.001366297	6.993617121	0.246912381	3.191820887	87.35030006	0	0	1.49726618	0	0	0.032466018	0	0.089522285	0	0	0.150620845	0	0	0.446107926	0	0.174440839	1.189350756	0.009567376	0	1.379671976	0.55798726	0.101835823	2.087027883	37.78946902	9.356371409	0	0.030274937	37.45668087	0.036981516	3.040589912	0.594289899	0	0.181408995	0	2.548884396	1.214177057	0.202766124	0	2.048223949
NR265	0	4.657407885	0	2.19401924	91.05776504	0	0	1.377118025	0	0	0	0	0	0.041558442	0	0.027563913	0	0	0.644567457	0	7.037862209	0	4.730139853	85.10013504	0	0	1.353759164	0	0.010608063	0	0	0	0	5.29562E-05	0.393954779	0	0	1.373487933	0	0.15126188	2.077996073	0.082312118	0	2.49544616	0.654690236	1.069772472	3.386102691	29.20760743	6.296250609	0	0.143690984	43.13446077	0	4.059441024	0.982388754	0	0.130789971	0	2.971589854	1.176380278	0.188029827	0	1.791788864
NR281	0	0	0	3.599663026	91.52155563	0	0	0	0	0	0	0	0	0	0	0	0	0	4.878781342	0	0	0	3.294186171	95.82163767	0	0	0	0	0	0	0	0	0	0	0	0	0	0.884176159	0	0.063653764	1.218895665	0	0	1.223801935	0.266960465	0	2.597903549	67.74659925	3.880123718	0	0	14.44419361	0	2.259673682	0.081141638	0	0.048997709	0	1.443405844	1.956221593	1.491780422	0	1.276647162
NR304	0	4.01379089	0.819162622	7.465698626	86.07482817	0	0	1.06200449	0.011096087	0	0	0	0	0	0	0.064179446	0	0	0.489239665	0	5.760277254	0.00373814	7.790574455	84.97326084	0	0.61075168	0.645428681	0	0	0	0	0	0.150461928	0	0.065507028	0	0	0	0	0.522844209	2.625370805	0	0	1.844133819	2.165629654	0.144694957	2.986530698	3.446818124	5.745112406	0	0.269485375	61.04982502	0	5.11013712	2.339116082	0.003920333	0.272029289	0	3.161141322	1.900978517	0.796959224	0	5.615273045
NR323	0	7.659735482	1.82913949	24.22725768	62.23726093	0	0.433706243	1.478837341	0.571654024	0	0.011544769	0	0.037730893	0.931895519	0	0	0	0.175667248	0.405570382	0	9.361976201	0.788223335	22.32579203	61.99655428	0.097483989	0.270509119	1.652110395	1.519214909	0	0	0	0.056932344	1.654237684	0.045142908	0.008400495	0	0.079081807	0.144340507	0	0.344749446	3.695412025	0.007333341	0	1.18000033	0.681100887	0.203801102	3.875368	14.02278248	9.607207032	0	0	54.23945765	0.021844767	3.815012144	0.426692374	0.072014701	0.143000336	0	4.405322517	1.569873927	0.406493465	0	1.282533478
NR340	0	3.842777404	1.86769474	26.17805093	62.44539045	0	0.408515587	3.102522759	0	0	0	0	0	1.8531836	0	0.034927549	0	0	0.266936976	0	10.04887494	0.281648328	24.4621972	62.90505682	0	0.24984111	1.568583219	0	0	0	0	0	0.115755449	0	0.100751826	0	0	0.267291102	0	0.06730441	3.486467705	0	0	0.987281252	0.528801992	0.098366616	3.560770539	18.78163193	6.175882594	0	0	55.01747938	0	3.460376794	0	0	0.035542638	0	4.738180228	1.332674057	0.45042991	0	1.278809963
NR345	0	6.78831031	2.858860366	27.76490891	45.35598111	0	0	0.877766628	0.983794449	0	0	0	0	0.980856924	0	0.294967456	0	13.84039045	0.254163395	0	8.377181563	2.261331669	27.68063466	41.4898028	0	0	0.576634381	3.014151904	0	0	0	0	2.38107509	0	0.280172859	0	13.93901507	0	0	0.079175517	2.368457482	0.063767656	0	0.754783202	0.685552914	0.260717997	1.99995689	25.33166128	9.257144652	0	0	41.94032549	0	3.713199032	0.280022533	0	0	0	2.405152727	1.358396199	9.084397175	0	0.417289254
NR230	0	5.569140091	0.310732125	2.889165326	88.22324683	0	0	1.463322427	0	0	0	0	0	0	0	0	0	0.247018105	1.297375098	0	7.649887742	0.476998256	4.384638824	83.60162601	0	0	1.412584142	0.053725267	0	0	0	0.295584556	0	1.080113042	0	0	0	1.044842165	0	0.425295246	1.144295876	0.003292559	0	2.893844194	1.152831618	0	2.190261792	32.91725269	10.63029954	0.019877326	0	25.63060678	0	3.415249275	2.778892748	0	0.273907666	0	3.163746107	1.593522281	0.134942242	0	11.63188206
NR263	0	0.477423004	0	2.054186896	95.81361102	0	0	0.991394994	0	0	0	0	0	0	0	0	0	0	0.663384085	0	5.416207931	0	0.31676131	92.71060826	0	0	1.036101348	0	0	0	0	0	0	0	0	0	0	0.520321156	0	0.177077779	1.97718936	0	0	2.521070373	0.8409961	0	3.284987153	57.5114168	5.504317233	0	0.17621729	19.24910693	0.060431689	2.010660885	0.07027177	0	0.215846306	0	2.372820882	1.716338876	0.062435095	0	2.24881548
NR270	0	7.105323975	0	0.616203485	89.09519346	0	0	0.614773023	0	0	0	0	0	0	0	0	0	0	2.568506061	0	6.228493798	0	0.582783617	84.81546738	0	0	5.03619987	0	0.31940208	0	0	0	0	0	0.733780036	0	0	2.28387322	0	0.067662359	1.421244907	0.048305352	0	1.643319168	0.605622705	0.197812244	1.95768697	42.61896771	6.698634023	0	0	34.12635689	0	3.964661297	0	0.307394459	0.053161507	0	3.056400676	1.492739886	0.250740572	0	1.489289277
