FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk13_Wein	%ivk13_mehrjaehrige_Graeser	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
RE063	0	0.029486234	0.811860514	0.02789408	0.622518113	0.069944787	0.319942464	0	0.47341059	0.577501827	10.85402698	2.896013755	26.84339971	50.97513368	1.563802952	0.147323488	3.458387806	0.329353025	0	0	0.131572958	0.22881826	0.168454091	0.951929004	0.091978453	0.31322331	0	0.477977802	0.393065827	13.70445854	1.628219337	23.94978757	52.29779893	1.412069036	0.261014254	1.860839043	1.862779196	0.266014388	4.216930008	0.150342703	0.653999925	1.386805902	0	0.075716869	4.945489057	0.280441232	0	15.01243485	12.23292431	0.039354207	0.000743159	47.01848784	0	5.11152824	1.951674133	4.097179285	0	0.025035874	0	0.175047384	1.83485146	0	0.791013559
RE007	0	0	0	0.231324651	11.21879559	0	0.324161333	0	0	1.232788377	5.746007854	10.95406728	52.44271472	12.73166083	0.459126839	3.184707459	1.327488839	0.147156226	0	0	3.964820363	0	0.646703146	5.603007558	4.28609008	0	0	0	1.394408599	11.021214	4.450319469	46.62867906	13.34697476	0.271652671	2.051292121	1.453673338	4.881164837	0	6.530523652	0.11396252	8.626333615	3.860442948	0	0	1.804485665	2.42311149	0	5.405858226	9.841114126	0	0	31.26592143	0	1.904225468	3.260102701	6.292260287	0.717837878	0.342384231	0	0.09712023	0.602843123	0.533382717	16.3780897
RE154	0	0	0	40.72460658	0	0	0.732192129	0	0	17.28677195	10.07064506	9.190799151	8.429933167	3.209391732	6.435024055	0.178084183	3.742551996	0	0	0	0	0	55.0831669	0	0	1.359624728	0	0	6.607493832	0	0.203912042	11.89332237	20.76189127	0.526451131	1.759058851	1.805078881	0	0	13.49599859	0	9.486657414	4.1848853	0	0.073791729	1.682745881	3.471679699	0	33.70416003	3.157657039	0.001641016	0	11.98220548	0	1.444386116	1.685083783	8.555956542	0	0.385805276	0	2.479673628	3.500684058	0	0.706988415
RE155	0	0.010848659	0	0.130494108	2.75398025	0.27902346	0.201560316	0	0.79720101	1.027313975	9.294441792	7.036927118	42.52497627	29.43383448	0.743100516	0.353387754	3.305741955	2.107168334	0	0	0	0	0.153570033	2.109204805	0.254750118	0	0	0.717266965	1.158649909	21.39893264	2.991937793	35.34436257	28.3774918	1.533126473	0.249551165	3.475407464	2.102345935	0.133402334	7.771813749	0	1.45998859	1.67410147	0	0	4.588176718	0.473577969	0	10.22934551	8.302509922	0	0	50.4417105	0.019836321	3.679610984	2.065645699	4.179025027	0	0.024189596	0	0.233363327	3.532258104	0	1.324846511
RE183	0	0.07980909	0	0.131553131	5.438428823	0.120048341	0.293945193	0.085124528	9.078833678	0.733705704	5.924070017	9.169337992	36.34037639	28.98435292	0.634573536	0.213807434	1.832558456	0.939474766	0	0	0.200689747	0	0.143438338	2.550276371	0.125298373	0.869734016	0.061799685	10.6796461	0.523113138	12.25019967	4.073226508	37.16374844	27.76176431	0.400391431	0.517111465	2.028108663	0.597000969	0.054452781	8.57607889	0.121295295	1.77727834	1.776685852	0	0.047766378	3.485612375	0.575889906	0	16.62120771	7.155814971	0.01547163	0.091467385	37.56443718	0.003430441	1.928348941	1.896413404	4.409310347	0.165747517	0.087981504	0	0.003865805	12.40529017	0	1.290605965
RE187	0	1.42082985	0.455767877	0.489484006	4.76230982	0.561307096	0.281557345	0.002016399	0	1.906833192	12.42828146	6.771709578	42.34374279	23.67842628	1.006392383	0.441460509	2.996174322	0.453707101	0	0	0.01723483	0.624497409	0.376923741	3.862467464	0.912950296	0.208032168	0	0.079140333	0.981460434	14.18430708	3.914009005	44.2629427	23.2661768	0.939791351	0.634339435	1.983473443	1.795925991	1.956327526	7.894826807	0	1.806401552	3.205917031	0	0.209105185	5.036216823	0.813670021	0	8.743870147	8.094654091	0.012492725	0.029420089	48.99267399	0.004652456	5.424918866	1.9251936	5.30529691	0.028010509	0.171192246	0	0.42462605	0.517168765	0	1.359692134
RE193	0	0	0	0.370269527	0	0	0	0.772867447	0	4.758798287	10.67261695	11.06630665	42.6037697	28.91098943	0	0	0.844382004	0	0	0	0	0	0.860655414	0	0	0	0.664785759	0	0.236180477	4.02120626	6.695466622	52.45342542	31.51419631	0	1.167652111	1.557297122	0.829134505	0	22.92293267	0	3.928812749	1.780599711	0	0	2.616598755	4.303856957	0	7.99372376	6.150199518	0	0	30.96511682	0	6.960710062	1.282109923	7.59795331	0	0.251860624	0.037181646	0.237861196	0.046433075	0	2.924049228
RE216	0	1.388176011	0	0.191934827	1.19852548	0.089588794	1.351562499	0	0.138845588	1.65592601	7.003304342	3.201401048	27.14604577	49.11455661	0.534474486	0.238540133	5.767753066	0.979365331	0	0	0.04176667	0	0.585791335	1.461999169	0.023610317	0.459360308	0	0.136001505	1.077950438	8.49752849	4.148500897	24.64084403	50.60181183	0.476262261	0.484697838	4.196438707	1.530001598	1.637434611	4.351474991	0	1.14358693	2.436335565	0	0.090383939	2.981036196	0.669245512	0	20.72156166	8.425834749	0.000104413	0.017452431	41.03458702	0.041110063	6.385985377	1.847784225	4.797709357	0	0.300110663	0	0.752985764	0.114595204	0	3.888115947
RE222	0	0.711503213	0	9.81244E-05	0.842590621	0	0.392923697	0	0	2.213738167	5.254870216	4.796667746	17.1229661	62.69285578	0.048951053	0.034870095	5.639165774	0.248799416	0	0	0.182222043	0.003399946	9.96845E-05	2.239034887	0	0.609931847	0	0.014521961	1.222858363	6.984758676	5.0461476	16.06960528	62.5928222	0.093696593	0	3.762352101	0	1.178548822	4.342438758	0.074508879	0.887455871	1.338170673	0	0.07650771	3.476872116	0.577837707	0	26.85657897	9.24275663	0.021880285	0.02681139	39.86966301	0.237419577	4.146290699	2.098312117	4.579504186	0	0.201372301	0	0.124620199	0.199849918	0	1.621148998
RE265	0.000785314	0.063777017	0	0.010307384	3.627491793	0.532697517	0.131007546	0	0.135563003	0.614695049	8.548938763	4.452502913	39.39520306	38.7531878	0.023642774	1.32923115	2.334233107	0.046735813	0	0	0.044844248	0.563625279	0	3.824191359	1.172233161	0.116908927	0	0.223138013	0.188452888	14.7821104	1.283086899	34.2468801	39.78641607	0.270153872	0.716416997	2.050113256	0.682339521	0.049089014	2.484985094	0.01139919	0.939456684	0.963418399	0	0.07948192	4.244242792	0.212829959	0	9.754351425	6.404355925	0.034702417	0	63.51973716	0.001372762	2.54995526	2.403864078	3.539807846	0	0.07117294	0	0.65491584	1.549842193	0	0.580108121
