FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk13_Wein	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
SE064	0	0.024976981	0.024768466	0.282894712	0.548964379	0	2.26258E-05	0.029334429	0	0	0	0	0	0.023426489	0	0.000420837	0	0	0.000873196	0	0	0	0	0.07698364	0	0	0	0	0.00598235	0.054220983	0.001130155	0.244281104	0.586656133	0.000424093	0.003117077	0.023308296	0.00146251	0.00243366	0.018397704	0.005473782	0.009992669	0.022483147	0	0.000400836	0.01101005	0.002688183	0	0.076914124	0.439794209	0	0.001108601	0.219357436	0	0.049061345	0.009111476	0.030207239	0	0.001939042	0	0.00870745	0.033724033	0	0.030593851
SE049	0	0.010573907	0.013631753	0.066681403	0.496323942	0.029361712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06261189	0	0	0	0	0.019235265	0	0	0.110261869	0.807890977	0	0	0	0	0	0.101143963	0	0.114721424	0.158830139	0	0	0.049772876	0.024056132	0	0.053018835	0.211539052	0	0	0.083075007	0	0.028003868	0.013654228	0.081711046	0	0.017276639	0	0.015755416	0.016562088	0	0.366865195
SE068	0	0.057319457	0.04322827	0.34668574	0.415841572	0	0.001491584	0.042071012	0	0	0.000631918	0	9.4719E-05	0.058315281	0	0.001205502	0	0.001339905	0.001679476	0	0.000285066	0	0.000295879	0.063565294	0	0.011571879	0	0.001393822	0.006137262	0.095147641	0.003560943	0.338855591	0.434824708	0.002111108	0.002361915	0.03988889	0	0	0.023125436	0.00431601	0.014413126	0.0124684	0	0.0035437	0.013657708	0.003197378	0	0.054039863	0.446808988	0	1.003E-05	0.326667979	0.000333919	0.017797283	0.007951402	0.020499087	0	0.001936523	0	0.001273251	0.018040485	0	0.012055081
SE045	0	0.043719654	0.010295728	0.282634329	0.459661442	0	0.000626547	0.003169059	0	0	0	0	0	0.034353189	0	4.64373E-05	0	0	0.008865016	0	0	0	0	0.054060353	0	5.51305E-05	0	0	0.056821246	0.099288149	0.000334184	0.205481506	0.509669363	0	0	0.074290069	0	0	0.016355134	0	0.012449826	0.017401626	0	0.000116159	0.012200628	0.000192048	0	0.120018888	0.457824348	0	0	0.281966493	0	0.016755073	0.009103559	0.014180778	0	0.001345239	0	0.001006323	0.013192665	0	0.143435932
LTH04	0	0.037122285	0.010386637	0.105251784	0.730267666	5.03022E-05	0	0.021533261	0	0	0	0	0	0	0	0.006773782	0	0	2.33802E-05	0	0	0	0	0.011486367	0	0.00864907	0	0	0	0.040640826	0.006924654	0.100495126	0.785381965	5.71654E-05	0	0.046364827	0	0	0.030524867	0.009033693	0.003437273	0.011901072	0	0.000164179	0.010632951	0.003368025	0	0.208317756	0.437621567	0	0	0.118266235	0	0.033752241	0.01189259	0.02614179	0	0.000405285	0	0.017255132	0.016042549	0	0.072548354
SE050	0	0	0.043432686	0.332853315	0.384774828	0	0	0.01530055	0	0	0	0	0	0.046887863	0	0	0	0	0.00417356	0	0	0	0	0.046728191	0	0	0	0	0.071890321	0.214529394	0.009186855	0.224233565	0.428074491	0	0	0.005357182	0	0	0.006560939	0	5.63287E-05	0.000828397	0	0	0.001721934	0.00081822	0	0.068978997	0.483555063	0	0	0.282950438	0	0.055966969	0.006613392	0.016082501	0	0.000208138	0	0	0.00549685	0	0.167080349
SE055	0	0.03070155	0.024183426	0.3186265	0.55110363	1.98815E-05	3.06286E-05	0.013822885	0	0	0	0	0	0.016889167	0	0.000720488	0	0	0.000922538	0	0	0	0	0.039770761	0	0	0	0	0.003666358	0.06506962	0.001067018	0.286936708	0.575511751	0	7.2325E-06	0.024383267	0.003587285	0	0.015000888	0	0.002492169	0.020072242	0	0.000573639	0.013943445	0.002722369	0	0.081400822	0.454138595	0	0.005600751	0.29073519	1.72917E-06	0.018455418	0.008150916	0.01502618	0	0.001467143	0.000806302	0.011467517	0.027964806	2.79036E-05	0.014986596
SE059	0	0.033416887	0.032726039	0.251136864	0.546307093	0.001647392	0.001791654	0.033587997	0	0	0	0	0	0.031643421	0	0.00551988	0	0	0.006973195	0	0	0	0	0.038545341	0	0.005703415	0	0	0.02729918	0.033471254	0.011621971	0.290834435	0.559513918	0	0.001689425	0.031321062	0	0	0.026223886	0	0.002324859	0.014084903	0.000773803	0.000230418	0.015013999	0.000702635	0	0.153791272	0.453486717	0	0	0.254977347	0	0.022110628	0.008625079	0.01398224	0	0.000688353	0	0.010376395	0.031596324	0	0.023653253
SE085	0	0.028245604	0.012777401	0.198830145	0.615076091	0	0.004605822	0.034500652	0	0	9.87152E-05	0	0	0.021511951	0	0	0	0.001213221	0.004761148	0	0.000107407	0	0	0.021621888	0	0.001047122	0	0	0.002090744	0.084727802	0.002355814	0.21043084	0.64448204	0	0.000614219	0.032522123	0	0	0.037987013	0	0.007385038	0.019100746	0	0.000362847	0.019579532	0.001505848	0	0.04311489	0.432258574	0	0	0.284751416	0	0.031339705	0.010223727	0.030488456	0	0.002145602	0	0.006704035	0.018139496	0	0.060239753
SE091	0	0	0.000814204	0.204532387	0.641980132	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026810119	0	0	0	0	0	0	0	0	0	0.002387054	0	0	0.239311575	0.703274902	0	0	0.055026469	0	0	0.003205778	0	0.014642423	0.002928091	0	0	0.002552092	0.000788077	0	0.216775625	0.481432107	0	0	0.174050315	0	0.031218429	0.00694633	0.005617734	0	0.000455286	0	0	0.061366221	0	0.064496936
SE071	0	0.038774469	0.028475635	0.216026872	0.597690782	0.001737487	0.004020464	0.015140266	0	0.000392456	0	0	3.28705E-05	0.043870386	0	0.000454205	0	0	0.006397258	0	0	0	0	0.040441962	0	0.00037595	0	0	0.015583204	0.065760182	0	0.224133537	0.621173523	0	0	0.032500636	0	3.10043E-05	0.025599132	0.003231418	0.002148876	0.008422462	0	0	0.014410269	0.000752005	0	0.056058087	0.457503737	2.08096E-06	0	0.313832559	0	0.045526335	0.007787832	0.022092496	0	0.000541137	0	6.94659E-06	0.014129488	0	0.032857363
SE080	0	0.074056698	0.076016256	0.258301496	0.390886918	0	0	0.046697	0	0	0	0	0	0.0852849	0	0.003242727	0	0.001718527	0.004867917	0	0	0	0	0.109577829	0	0	0	0	0.046971409	0.151377916	0.003917449	0.268718542	0.335224659	0	0.016841655	0.067370542	0	0	0.014537702	0.013022548	0.003839482	0.023941791	0	0	0.009579911	0.001225073	0	0.084600397	0.45173035	0	0	0.228490649	0	0.033132666	0.006899208	0.018285404	0	0.00114335	0.000468104	0.003596717	0.042080868	0	0.016846693
