FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk13_Wein	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%FlaecheGemischterNutzung	%Friedhof	%Halde	%IndustrieUndGewerbeflaeche	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaeche	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%Gehoelz	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
IL241	0	12.90256203	3.45139085	37.22678835	30.69049915	0	0	0.983770444	10.47598087	0	0	0	0.030587911	1.933936541	0	0.233034282	0	0.150373068	1.921076512	0	27.98315029	0.305349901	34.19267	29.4993399	0	0	1.967766095	6.020668551	0	0	0	0.031055262	0	0	0	0	0	0	2.874544172	0.013509416	0	0.476922483	0.658995855	0.203218525	1.58405027	0.003680305	0	8.714161755	2.001396192	0.041455502	72.47313017	0	0.096452752	4.586538246	2.453504452	1.333722033	0	0.028133205	0	0	1.380223426	0	1.076361244
IL242	0	15.66946491	2.863814886	45.75866226	20.14934218	4.768254473	0.239177691	1.837081807	1.935535771	0	0.019211149	0.034603039	0.017334013	5.232167878	0	0.047914156	0	0	1.427435787	0	26.50635635	0.293806037	42.19656288	18.82121096	5.714524113	0.299163444	2.407370186	1.777346118	0	0	0.119972974	0.02817891	0.772433688	0.053737591	0.003642261	0	0	1.005694488	3.74015345	0.070011913	0	1.194481819	0.879118641	0	3.396362786	0.292446507	0	0.363097184	2.130855606	0	75.89325561	0	0	4.360878857	2.578117683	3.060351724	0	0.021908666	0.124958494	0.804382343	0.26732371	0	0.822295004
IL244	0	18.33678521	2.555986557	41.66683993	30.20565038	0.535582098	0.157021312	0.861137	0.959775378	0	0	0	0.036605719	4.110332382	0	0.047178551	0	0	0.527105488	0	31.28234317	0.940964358	34.17828534	27.58543746	0.096333936	0	1.345768571	2.102746789	0.011228887	0	0	0	2.111979747	0	0.006272213	0	0	0.338639536	4.622548381	0.0362383	0	2.155530747	0.802304666	0	1.159069058	0.106472647	0	7.913378497	1.736999826	0	68.54747666	0.009019635	0.006213249	6.077860766	2.4975713	2.788205672	0	0.001461088	0	0.398204125	0.540341319	0	0.601104068
IL258	0	18.74307958	2.226481391	25.54636661	31.73016284	0	0	1.55734711	16.15442207	0	0	0	0	3.539478604	0	0.502661796	0	0	0	0	24.77043936	0.301905097	21.60487754	32.93361915	0	0	3.387552928	12.44520199	0	0	0	0	4.022092574	0	0.489037708	0	0	0.045273659	1.066106001	0	0	0.645630065	0.149057594	0	0.192678	0.010786672	0	34.28563784	2.052636682	1.002175784	50.95942763	0.487538389	0	4.684519873	2.033622927	1.110394851	0	0	0	0	0.831243225	0	0.488544469
IL266	0	15.630441	2.215441218	33.81403009	40.26290299	0.948100671	0	1.125251402	1.468555162	0	0.080593378	0.16772931	0.021941361	2.322224997	0	0	0	0	1.942788419	0	16.23888898	0.356460369	34.68386329	39.05459428	2.228541271	0	1.417065199	2.904811905	0	0	0	0.118921071	1.717582605	0	0	0	0	1.279271035	6.172493573	0.056120905	0	2.135198592	2.687937592	0	3.835219752	0.334462552	0	0.491571771	3.351665474	0.000532456	64.86078519	0	0.005577869	5.447637543	2.216132334	3.272785508	0	0.245026824	0.265435949	0.365580329	0.093620884	0	4.162214907
IL282	0	12.7190764	1.292656133	35.23318248	37.00014051	0	0	0.181260261	0	0	0	1.475684855	0	10.02121637	0	0	0	0	2.076783002	0	8.216592306	0	38.11278427	37.6550687	0	0	0.638279132	2.182368467	0	0	1.430677977	0	6.715717856	0	0	0	0	5.04851129	2.403745205	0.034850648	0	1.546671117	0.29955022	0	0.486448818	0.227429339	0	38.56147403	2.232346152	0	43.20549649	0	0	4.779613449	2.564797436	2.498399446	0	0.019079358	0	0	0.636822464	0	0.503275833
IL288	0	15.44785558	3.902161663	37.80874345	33.99498234	0.839736919	0	1.893768708	2.981969629	0	0	0.374826501	0	2.742440617	0	0	0	0	0.013514594	0	21.87477069	0.03833948	38.2392728	31.89960972	0.014938624	0	1.862002696	4.286855608	0.187808817	0	0	0	1.596401561	0	0	0	0	0	2.135895424	0.044792318	0	0.203437395	0.229086218	0.213779187	1.970240328	0.072909737	0	28.87858141	4.452452363	0.44134409	50.54568064	0.038801168	0.005620537	4.395200746	2.492476224	1.999425297	0	0	0	1.039838358	0.282972524	0	0.557466037
IL239	0	25.57918738	1.882809513	28.44013564	38.24841527	0.320256969	0	0	0	0	0	0	0.000477393	5.415777646	0	0	0	0	0.112940188	0	22.74623531	0	40.44801177	35.3804254	0.519394024	0	0	0.905454668	0	0	0	0.000478826	0	0	0	0	0	0	8.856993592	0.069463783	0	2.391846508	0.021873528	0	2.655893777	0.138665713	0	1.749466451	0.827305881	0	68.36071126	0	0	8.731000016	1.766760495	3.280532894	0	0	0	0	0.115393725	0	1.034092378
IL238	0	23.50747429	3.968409222	31.27668237	34.04493298	1.657910636	0	0.573386164	0	0	0	0	0	4.971204339	0	0	0	0	0	0	38.56311812	0	26.01460152	27.99520139	2.550273241	0	1.256364792	1.08341676	0	0	0	0	2.537024179	0	0	0	0	0	0.417370229	0	0	0	0	0	0	0	0	3.405579497	0.458072871	0	88.3158033	0	0	4.141846949	2.35024933	0.395321888	0	0	0	0	0	0	0.515755933
IL248	0	8.741871842	3.319256294	43.5188278	27.10266698	0	0	1.439531236	1.074506215	0	0	0	0	6.897692666	0	0	0	7.729096307	0.176550659	0	14.94583379	0.7280307	42.8915881	25.36301492	0	0	0.253826834	4.691907436	0	0	0	0	1.735626656	0	1.354935606	0	7.742444571	0.292791396	4.085413906	0.032914295	0	1.103292279	0.146366543	0	1.990466016	0.065346994	0	19.26471563	1.190351386	0	54.25163977	0	0.062532376	5.224349106	2.220950764	4.065702821	0	0.026089601	0	0	6.037134476	0	0.232734035
